item_id,order_id,product_id,quantity,unit_price,discount_percent,valid_order,valid_product
1,ORD-99999,PROD-99999,1,1290.44,100.0,False,False
2,ORD-01334,PROD-00185,7,470.55,42.85,True,True
3,ORD-00098,PROD-00123,5,1350.76,10.77,True,True
4,ORD-00559,PROD-00293,1,2084.94,5.53,True,True
5,ORD-01418,PROD-00211,3,2336.47,8.56,True,True
6,ORD-01043,PROD-00150,3,174.53,5.68,True,True
7,ORD-00447,PROD-00026,7,602.01,22.67,True,True
8,ORD-01245,PROD-00121,7,1704.44,14.89,True,True
9,ORD-00544,PROD-00087,5,566.96,19.29,True,True
10,ORD-00533,PROD-00238,1,1174.15,43.62,True,True
11,ORD-00589,PROD-00083,2,1294.67,31.92,True,True
12,ORD-00500,PROD-00072,4,2152.71,37.76,True,True
13,ORD-01227,PROD-00153,5,1487.89,32.78,True,True
14,ORD-01039,PROD-00248,6,702.04,4.15,True,True
15,ORD-00122,PROD-00282,6,1475.81,23.37,True,True
16,ORD-00584,PROD-00114,4,786.81,35.19,True,True
17,ORD-01427,PROD-00090,3,1736.79,9.23,True,True
18,ORD-00848,PROD-00230,5,1400.73,18.18,True,True
19,ORD-01418,PROD-00113,2,174.03,19.52,True,True
20,ORD-00510,PROD-00229,6,1258.19,5.85,True,True
21,ORD-01433,PROD-00292,1,689.43,7.74,True,True
22,ORD-00892,PROD-00200,5,1077.68,14.9,True,True
23,ORD-00002,PROD-00072,2,111.02,23.18,True,True
24,ORD-00217,PROD-00181,3,393.47,32.79,True,True
25,ORD-00871,PROD-00042,5,173.52,25.86,True,True
26,ORD-01184,PROD-00232,7,2464.91,11.16,True,True
27,ORD-01037,PROD-00044,2,468.16,33.68,True,True
28,ORD-00535,PROD-00124,7,1219.17,30.04,True,True
29,ORD-00186,PROD-00086,3,116.99,14.35,True,True
30,ORD-01111,PROD-00192,1,432.43,34.38,True,True
31,ORD-00765,PROD-00194,6,1350.06,21.99,True,True
32,ORD-00866,PROD-00012,1,863.84,36.09,True,True
33,ORD-01427,PROD-00057,1,1295.17,0.71,True,True
34,ORD-00832,PROD-00079,3,1418.56,4.03,True,True
35,ORD-00649,PROD-00144,3,557.48,39.05,True,True
36,ORD-00591,PROD-00212,4,381.02,17.73,True,True
37,ORD-00593,PROD-00153,3,1689.94,42.73,True,True
38,ORD-00395,PROD-00290,5,1411.46,13.82,True,True
39,ORD-00577,PROD-00295,7,1296.75,32.2,True,True
40,ORD-00253,PROD-00214,7,1484.62,23.64,True,True
41,ORD-00323,PROD-00228,2,1851.36,9.63,True,True
42,ORD-01161,PROD-00184,5,2424.66,0.06,True,True
43,ORD-00149,PROD-00045,7,1679.02,43.03,True,True
44,ORD-00085,PROD-00158,3,2304.88,16.78,True,True
45,ORD-00499,PROD-00032,1,2344.71,9.66,True,True
46,ORD-00417,PROD-00204,2,1512.87,13.45,True,True
47,ORD-00307,PROD-00012,2,1697.16,38.24,True,True
48,ORD-00898,PROD-00133,2,2179.42,3.77,True,True
49,ORD-01209,PROD-00043,1,89.88,23.74,True,True
50,ORD-01246,PROD-00077,5,839.39,35.39,True,True
