order_id,customer_id,order_date,status,region_code,payment_method,customer_exists,valid_customer
ORD-00001,,2026-08-10 00:01:11,CANCELLED,NORTH,UPI,False,False
ORD-00002,CUST-00300,2024-01-12 00:00:00,RETURNED,EAST,Credit Card,True,True
ORD-00003,CUST-00170,2020-01-21 00:00:00,PLACED,CENTRAL,Debit Card,True,True
ORD-00004,CUST-00002,2023-10-16 00:00:00,SHIPPED,CENTRAL,Net Banking,True,True
ORD-00005,CUST-00237,2020-07-13 00:00:00,CANCELLED,CENTRAL,Debit Card,True,True
ORD-00006,CUST-00344,2021-02-17 00:00:00,PLACED,CENTRAL,Net Banking,True,True
ORD-00007,CUST-00091,2024-01-24 00:00:00,DELIVERED,CENTRAL,UPI,True,True
ORD-00008,CUST-00084,2023-12-20 00:00:00,RETURNED,CENTRAL,Debit Card,True,True
ORD-00009,CUST-00392,2024-12-23 00:00:00,PLACED,NORTH,Debit Card,True,True
ORD-00010,CUST-00292,2022-11-27 00:00:00,PLACED,WEST,UPI,True,True
ORD-00011,CUST-00403,2022-11-13 00:00:00,PLACED,NORTH,Debit Card,True,True
ORD-00012,CUST-00172,2024-12-23 00:00:00,CANCELLED,NORTH,Cash on Delivery,True,True
ORD-00013,CUST-00494,2024-12-24 00:00:00,PLACED,CENTRAL,UPI,True,True
ORD-00014,CUST-00118,2020-12-30 00:00:00,DELIVERED,WEST,Cash on Delivery,True,True
ORD-00015,CUST-00061,2026-08-10 00:01:11,PLACED,CENTRAL,Credit Card,True,True
ORD-00016,CUST-00119,2023-02-02 00:00:00,SHIPPED,CENTRAL,Debit Card,True,True
ORD-00017,CUST-00138,2021-08-12 00:00:00,CANCELLED,NORTH,Cash on Delivery,True,True
ORD-00018,CUST-00295,2023-03-19 00:00:00,CANCELLED,NCR,Debit Card,True,True
ORD-00019,CUST-00064,2025-04-18 00:00:00,SHIPPED,EAST,Cash on Delivery,True,True
ORD-00020,CUST-00105,2024-07-10 00:00:00,RETURNED,EAST,UPI,True,True
ORD-00021,,2024-02-02 00:00:00,SHIPPED,WEST,UPI,False,False
ORD-00022,CUST-00233,2020-11-03 00:00:00,SHIPPED,SOUTH,UPI,True,True
ORD-00023,CUST-00143,2026-04-28 00:00:00,DELIVERED,NORTH,Net Banking,True,True
ORD-00024,CUST-00039,2022-01-23 00:00:00,DELIVERED,NORTH,UPI,True,True
ORD-00025,CUST-00009,2025-11-10 00:00:00,DELIVERED,SOUTH,UPI,True,True
ORD-00026,CUST-00228,2023-04-05 00:00:00,DELIVERED,CENTRAL,Debit Card,True,True
ORD-00027,CUST-00349,2020-04-26 00:00:00,SHIPPED,NORTH,UPI,True,True
ORD-00028,CUST-00474,2026-08-10 00:01:11,SHIPPED,NCR,Credit Card,True,True
ORD-00029,CUST-00427,2026-07-08 00:00:00,SHIPPED,EAST,Credit Card,True,True
ORD-00030,CUST-00280,2024-07-02 00:00:00,RETURNED,WEST,Credit Card,True,True
ORD-00031,CUST-00291,2022-08-31 00:00:00,RETURNED,WEST,Net Banking,True,True
ORD-00032,CUST-00375,2021-02-25 00:00:00,SHIPPED,EAST,Cash on Delivery,True,True
ORD-00033,CUST-00069,2024-01-09 00:00:00,CANCELLED,WEST,Credit Card,True,True
ORD-00034,CUST-00216,2025-08-21 00:00:00,DELIVERED,SOUTH,UPI,True,True
ORD-00035,CUST-00164,2024-03-18 00:00:00,SHIPPED,EAST,Net Banking,True,True
ORD-00036,CUST-00039,2021-12-21 00:00:00,DELIVERED,SOUTH,UPI,True,True
ORD-00037,CUST-00174,2022-06-15 00:00:00,CANCELLED,NORTH,Credit Card,True,True
ORD-00038,CUST-00479,2024-04-14 00:00:00,DELIVERED,NCR,Credit Card,True,True
ORD-00039,CUST-00087,2025-04-22 00:00:00,RETURNED,NORTH,Credit Card,True,True
ORD-00040,CUST-00081,2026-02-11 00:00:00,CANCELLED,CENTRAL,Net Banking,True,True
ORD-00041,,2025-07-02 00:00:00,DELIVERED,NORTH,Debit Card,False,False
ORD-00042,CUST-00123,2025-02-06 00:00:00,RETURNED,NCR,Cash on Delivery,True,True
ORD-00043,CUST-00254,2024-04-24 00:00:00,DELIVERED,WEST,Cash on Delivery,True,True
ORD-00044,CUST-00332,2024-05-18 00:00:00,DELIVERED,WEST,Net Banking,True,True
ORD-00045,CUST-00375,2026-08-10 00:01:11,CANCELLED,EAST,Debit Card,True,True
ORD-00046,CUST-00369,2023-07-28 00:00:00,DELIVERED,NCR,Net Banking,True,True
ORD-00047,CUST-00241,2021-01-02 00:00:00,RETURNED,WEST,Debit Card,True,True
ORD-00048,CUST-00252,2024-09-26 00:00:00,CANCELLED,WEST,Debit Card,True,True
ORD-00049,CUST-00229,2025-08-14 00:00:00,RETURNED,WEST,Cash on Delivery,True,True
ORD-00050,CUST-00285,2022-05-06 00:00:00,DELIVERED,CENTRAL,UPI,True,True
ORD-00051,CUST-00045,2023-04-14 00:00:00,RETURNED,SOUTH,Net Banking,True,True
ORD-00052,CUST-00437,2021-04-08 00:00:00,CANCELLED,WEST,Credit Card,True,True
ORD-00053,CUST-00219,2020-07-08 00:00:00,RETURNED,EAST,UPI,True,True
ORD-00054,CUST-00342,2023-06-08 00:00:00,PLACED,WEST,Credit Card,True,True
ORD-00055,CUST-00071,2020-10-08 00:00:00,PLACED,NCR,UPI,True,True
ORD-00056,CUST-00312,2026-02-11 00:00:00,DELIVERED,NORTH,Cash on Delivery,True,True
ORD-00057,CUST-00369,2026-08-10 00:01:11,SHIPPED,EAST,Net Banking,True,True
ORD-00058,CUST-00222,2021-03-21 00:00:00,PLACED,EAST,UPI,True,True
ORD-00059,CUST-00280,2023-03-11 00:00:00,RETURNED,CENTRAL,Credit Card,True,True
ORD-00060,CUST-00364,2020-09-11 00:00:00,SHIPPED,NORTH,UPI,True,True
ORD-00060,,2020-12-12 00:00:00,SHIPPED,NORTH,Cash on Delivery,False,False
ORD-00062,CUST-00264,2023-12-06 00:00:00,CANCELLED,WEST,Credit Card,True,True
ORD-00063,CUST-00192,2024-11-27 00:00:00,CANCELLED,EAST,Debit Card,True,True
ORD-00064,CUST-00166,2025-08-04 00:00:00,DELIVERED,NCR,Credit Card,True,True
ORD-00065,CUST-00361,2020-07-21 00:00:00,RETURNED,CENTRAL,Credit Card,True,True
ORD-00066,CUST-00115,2025-02-04 00:00:00,PLACED,WEST,Debit Card,True,True
ORD-00067,CUST-00282,2023-02-12 00:00:00,PLACED,NCR,UPI,True,True
ORD-00068,CUST-00107,2025-04-05 00:00:00,CANCELLED,EAST,Credit Card,True,True
ORD-00069,CUST-00350,2025-12-31 00:00:00,DELIVERED,NORTH,Credit Card,True,True
ORD-00070,CUST-00084,2024-11-15 00:00:00,RETURNED,CENTRAL,Debit Card,True,True
ORD-00037,CUST-00102,2024-07-02 00:00:00,DELIVERED,WEST,Net Banking,True,True
ORD-00072,CUST-00454,2025-12-11 00:00:00,SHIPPED,SOUTH,Credit Card,True,True
ORD-00073,CUST-00492,2025-05-03 00:00:00,PLACED,CENTRAL,Net Banking,True,True
ORD-00074,CUST-00335,2022-10-14 00:00:00,DELIVERED,EAST,Credit Card,True,True
ORD-00075,CUST-00313,2024-10-29 00:00:00,CANCELLED,SOUTH,Cash on Delivery,True,True
ORD-00076,CUST-00370,2025-08-28 00:00:00,PLACED,WEST,UPI,True,True
ORD-00077,CUST-00227,2021-09-23 00:00:00,CANCELLED,WEST,Cash on Delivery,True,True
ORD-00078,CUST-00401,2025-12-28 00:00:00,RETURNED,WEST,Cash on Delivery,True,True
ORD-00079,CUST-00396,2021-07-23 00:00:00,CANCELLED,NCR,UPI,True,True
ORD-00080,CUST-00243,2020-06-23 00:00:00,DELIVERED,EAST,Debit Card,True,True
ORD-00081,,2026-08-10 00:01:11,SHIPPED,NCR,Cash on Delivery,False,False
ORD-00082,CUST-00437,2024-02-22 00:00:00,DELIVERED,SOUTH,UPI,True,True
ORD-00083,CUST-00109,2026-01-28 00:00:00,RETURNED,NCR,UPI,True,True
ORD-00084,CUST-00026,2026-08-10 00:01:11,DELIVERED,SOUTH,Cash on Delivery,True,True
ORD-00085,CUST-00015,2026-06-07 00:00:00,RETURNED,WEST,Credit Card,True,True
ORD-00086,CUST-00087,2023-05-31 00:00:00,DELIVERED,CENTRAL,UPI,True,True
ORD-00087,CUST-00267,2022-07-19 00:00:00,SHIPPED,NCR,UPI,True,True
