item_id,order_id,product_id,quantity,unit_price,discount_percent
1,ORD-99999,PROD-99999,0,1290.44,138.4
2,ORD-01334,PROD-00185,7,470.55,42.85
3,ORD-00098,PROD-00123,5,1350.76,10.77
4,ORD-00559,PROD-00293,1,2084.94,5.53
5,ORD-01418,PROD-00211,3,2336.47,8.56
6,ORD-01043,PROD-00150,3,174.53,5.68
7,ORD-00447,PROD-00026,7,602.01,22.67
8,ORD-01245,PROD-00121,7,1704.44,14.89
9,ORD-00544,PROD-00087,5,566.96,19.29
10,ORD-00533,PROD-00238,1,1174.15,43.62
11,ORD-00589,PROD-00083,2,1294.67,31.92
12,ORD-00500,PROD-00072,4,2152.71,37.76
13,ORD-01227,PROD-00153,5,1487.89,32.78
14,ORD-01039,PROD-00248,6,702.04,4.15
15,ORD-00122,PROD-00282,6,1475.81,23.37
16,ORD-00584,PROD-00114,4,786.81,35.19
17,ORD-01427,PROD-00090,3,1736.79,9.23
18,ORD-00848,PROD-00230,5,1400.73,18.18
19,ORD-01418,PROD-00113,2,174.03,19.52
20,ORD-00510,PROD-00229,6,1258.19,5.85
21,ORD-01433,PROD-00292,1,689.43,7.74
22,ORD-00892,PROD-00200,5,1077.68,14.9
23,ORD-00002,PROD-00072,2,111.02,23.18
24,ORD-00217,PROD-00181,3,393.47,32.79
25,ORD-00871,PROD-00042,5,173.52,25.86
26,ORD-01184,PROD-00232,7,2464.91,11.16
27,ORD-01037,PROD-00044,2,468.16,33.68
28,ORD-00535,PROD-00124,7,1219.17,30.04
29,ORD-00186,PROD-00086,3,116.99,14.35
30,ORD-01111,PROD-00192,1,432.43,34.38
31,ORD-00765,PROD-00194,6,1350.06,21.99
32,ORD-00866,PROD-00012,1,863.84,36.09
33,ORD-01427,PROD-00057,1,1295.17,0.71
34,ORD-00832,PROD-00079,3,1418.56,4.03
35,ORD-00649,PROD-00144,-3,557.48,39.05
36,ORD-00591,PROD-00212,4,381.02,17.73
37,ORD-00593,PROD-00153,3,1689.94,42.73
38,ORD-00395,PROD-00290,5,1411.46,13.82
39,ORD-00577,PROD-00295,7,1296.75,32.2
40,ORD-00253,PROD-00214,7,1484.62,23.64
41,ORD-00323,PROD-00228,2,1851.36,9.63
42,ORD-01161,PROD-00184,5,2424.66,0.06
43,ORD-00149,PROD-00045,7,1679.02,43.03
44,ORD-00085,PROD-00158,3,2304.88,16.78
45,ORD-00499,PROD-00032,1,2344.71,9.66
46,ORD-00417,PROD-00204,2,1512.87,13.45
47,ORD-00307,PROD-00012,2,1697.16,38.24
48,ORD-00898,PROD-00133,2,2179.42,3.77
49,ORD-01209,PROD-00043,1,89.88,23.74
50,ORD-01246,PROD-00077,5,839.39,35.39
51,ORD-00501,PROD-00033,5,52.18,37.49
52,ORD-01356,PROD-00166,1,428.07,11.09
53,ORD-00755,PROD-00256,5,444.26,2.28
54,ORD-00807,PROD-00043,3,1255.9,2.24
55,ORD-01298,PROD-00280,2,804.73,35.13
56,ORD-01248,PROD-00221,0,698.02,39.0
57,ORD-00894,PROD-00184,7,1488.85,6.38
58,ORD-01087,PROD-00165,3,2362.16,26.61
59,ORD-00219,PROD-00054,7,781.07,16.42
60,ORD-00778,PROD-00297,5,456.38,26.86
61,ORD-00440,PROD-00245,2,1850.31,37.87
62,ORD-00965,PROD-00206,4,978.28,13.33
63,ORD-01438,PROD-00083,5,1335.71,30.3
64,ORD-00651,PROD-00177,1,2281.26,1.44
65,ORD-01140,PROD-00221,2,960.17,32.79
66,ORD-01414,PROD-00194,4,981.45,7.21
67,ORD-01200,PROD-00082,5,1761.92,11.31
68,ORD-00739,PROD-00259,4,1501.95,6.29
69,ORD-00458,PROD-00204,-3,2441.09,15.01
70,ORD-00833,PROD-00022,5,393.52,9.41
71,ORD-01277,PROD-00057,3,1548.07,9.06
72,ORD-01372,PROD-00216,5,2219.12,41.45
73,ORD-00011,PROD-00099,6,1616.88,26.66
74,ORD-00838,PROD-00002,4,1002.47,9.21
75,ORD-00131,PROD-00061,2,2039.45,13.47
76,ORD-01409,PROD-00128,5,2054.83,13.17
77,ORD-01427,PROD-00240,4,1981.14,9.79
78,ORD-00689,PROD-00095,2,549.01,36.01
79,ORD-00193,PROD-00241,5,2148.59,12.32
80,ORD-00755,PROD-00122,2,1164.5,26.26
81,ORD-00430,PROD-00022,6,1046.89,20.15
82,ORD-00935,PROD-00215,1,2439.07,43.38
83,ORD-00443,PROD-00061,1,1879.59,6.75
84,ORD-01440,PROD-00214,1,1498.88,23.59
85,ORD-01288,PROD-00277,1,821.73,36.91
86,ORD-00800,PROD-00037,4,1490.43,17.27
87,ORD-00821,PROD-00176,4,2122.9,27.94
88,ORD-00550,PROD-00074,4,718.82,23.16
89,ORD-01338,PROD-00112,7,1884.95,24.88
90,ORD-00516,PROD-00052,2,688.12,8.06
91,ORD-00219,PROD-00006,5,1724.75,5.89
92,ORD-01139,PROD-00190,1,190.97,0.01
93,ORD-01427,PROD-00021,6,754.13,44.39
94,ORD-00049,PROD-00279,1,2437.75,44.7
95,ORD-00630,PROD-00236,7,1570.3,35.85
96,ORD-01013,PROD-00174,1,812.66,23.21
97,ORD-00146,PROD-00084,6,1941.81,34.08
98,ORD-00733,PROD-00287,2,1032.07,44.67
99,ORD-01044,PROD-00273,7,154.46,42.01
100,ORD-00503,PROD-00271,2,388.18,41.95
101,ORD-00590,PROD-99999,7,690.77,36.34
102,ORD-00029,PROD-00066,2,1368.05,17.32
103,ORD-01157,PROD-00124,-4,606.21,26.3
104,ORD-01023,PROD-00264,7,1553.39,21.99
105,ORD-00576,PROD-00210,1,1422.09,13.46
106,ORD-00205,PROD-00126,1,2190.9,36.34
107,ORD-00663,PROD-00112,1,1917.34,24.7
108,ORD-01093,PROD-00078,7,1465.36,13.63
109,ORD-00278,PROD-00034,7,969.99,4.85
110,ORD-00291,PROD-00100,6,1579.62,36.18
111,ORD-00155,PROD-00123,0,940.56,5.25
112,ORD-00842,PROD-00261,5,1901.05,18.56
113,ORD-01240,PROD-00289,2,1203.35,13.4
114,ORD-00650,PROD-00118,5,1123.44,14.48
115,ORD-01100,PROD-00068,3,2021.62,32.71
116,ORD-00188,PROD-00271,3,1717.58,19.79
117,ORD-00834,PROD-00120,7,1708.55,5.18
118,ORD-01299,PROD-00177,6,338.92,25.64
119,ORD-01473,PROD-00268,1,1390.86,42.29
120,ORD-01480,PROD-00218,1,2477.15,21.76
121,ORD-01246,PROD-00251,4,2266.94,6.32
122,ORD-00728,PROD-00197,2,845.94,13.58
123,ORD-00643,PROD-00085,2,2172.65,41.35
124,ORD-00120,PROD-00211,4,1282.08,6.53
125,ORD-01344,PROD-00239,6,692.15,23.62
126,ORD-99999,PROD-00163,4,440.99,2.09
127,ORD-00480,PROD-00012,5,1863.46,15.03
128,ORD-00202,PROD-00103,3,689.73,41.94
129,ORD-00230,PROD-00108,5,2469.7,34.2
