product_id,product_name,category,subcategory,brand,cost_price,selling_price,stock_quantity
PROD-00001,    ORBIT  OUTDOOR  MINIMA    ,Toys,Outdoor,Orbit,513.11,864.86,-13
PROD-00002,Orbit Office Odio,Furniture,Office,Orbit,2937.88,4009.88,51
PROD-00003,Bright Men Voluptate,Clothing,Men,Bright,2973.57,5023.52,61
PROD-00004,Summit Accessories Vitae,Electronics,Accessories,Summit,1292.4,1880.62,167
PROD-00005,Orbit Wellness Fuga,Beauty,Wellness,Orbit,2492.93,3036.67,171
PROD-00006,Nova Mobile Quisquam,Electronics,Mobile,Nova,1513.94,3161.42,58
PROD-00007,Bright Educational Deserunt,Toys,Educational,Bright,843.59,1998.32,157
PROD-00008,Zenith Wearables Eaque,Electronics,Wearables,Zenith,198.43,347.96,177
PROD-00009,River Accessories Velit,Electronics,Accessories,River,3482.65,7498.55,203
PROD-00010,Zenith Comics Ipsam,Books,Comics,Zenith,3359.6,5120.98,154
PROD-00011,River Women Magni,Clothing,Women,River,1234.09,2341.92,71
PROD-00012,Orbit Lighting Voluptate,Home,Lighting,Orbit,280.65,648.02,138
PROD-00013,Mira Women Ipsam,Clothing,Women,Mira,747.32,1063.91,105
PROD-00014,Orbit Plush Debitis,Toys,Plush,Orbit,2626.76,5900.51,143
PROD-00015,River Fragrance Temporibus,Beauty,Fragrance,River,1835.35,4191.47,201
PROD-00016,Urban Accessories Quibusdam,Electronics,Accessories,Urban,538.72,1170.54,172
PROD-00017,Urban Comics Quo,Books,Comics,Urban,1814.47,2441.21,43
PROD-00018,Zenith Haircare Eius,Beauty,Haircare,Zenith,1075.09,2190.77,23
PROD-00019,Nova Skincare Alias,Beauty,Skincare,Nova,431.25,684.17,197
PROD-00020,Apex Plush Perspiciatis,Toys,Plush,Apex,1056.91,1948.71,168
PROD-00021,River Kitchen Architecto,Home,Kitchen,River,1685.84,3442.09,54
PROD-00022,Mira Academic Mollitia,Books,Academic,Mira,973.17,1278.33,187
PROD-00023,Urban Outdoor Officia,Sports,Outdoor,Urban,214.83,499.06,78
PROD-00024,  summit bedding vel  ,Home,Bedding,Summit,381.52,724.95,196
PROD-00025,Nova Technology Iusto,Books,Technology,Nova,221.89,354.72,158
PROD-00026,Summit Technology Optio,Books,Technology,Summit,308.17,729.71,3
PROD-00027,Apex Wellness Minima,Beauty,Wellness,Apex,3222.18,5875.35,138
PROD-00028,Orbit Technology Repellat,Books,Technology,Orbit,2848.05,4677.53,69
PROD-00029,Apex Plush Possimus,Toys,Plush,Apex,2066.62,2433.39,16
PROD-00030,River Makeup Voluptatem,Beauty,Makeup,River,921.13,1660.48,166
PROD-00031,Nova Bedding Suscipit,Home,Bedding,Nova,1343.03,2392.58,196
PROD-00032,rIVER fICTION dOLORUM,Books,Fiction,River,456.87,1065.3,15
PROD-00033,Apex Audio Sit,Electronics,Audio,Apex,928.3,1360.33,202
PROD-00034,River Accessories Quas,Sports,Accessories,River,2216.3,2862.26,162
PROD-00035,Nexa Fragrance Dolores,Beauty,Fragrance,Nexa,303.23,619.95,161
PROD-00036,River Comics Iure,Books,Comics,River,2194.58,4667.51,66
PROD-00037,River Storage Iure,Furniture,Storage,River,2750.11,3609.56,81
PROD-00038,Bright Audio Beatae,Electronics,Audio,Bright,3296.07,7364.65,50
PROD-00039,Apex Living Room A,Furniture,Living Room,Apex,2667.83,6263.51,82
PROD-00040,Urban Fiction Dignissimos,Books,Fiction,Urban,203.98,276.96,120
PROD-00041,River Fitness Voluptates,Sports,Fitness,River,901.44,1962.68,151
PROD-00042,Apex  Outdoor  Temporibus,Sports,Outdoor,Apex,172.16,383.93,36
PROD-00043,Urban Accessories Aperiam,Electronics,Accessories,Urban,3258.15,5575.65,192
PROD-00044,River Lighting Velit,Home,Lighting,River,2218.07,4088.8,12
PROD-00045,Urban Laptop Cumque,Electronics,Laptop,Urban,570.31,803.99,183
PROD-00046,Nexa Audio Officia,Electronics,Audio,Nexa,1699.35,2553.73,71
PROD-00047,  mira wearables blanditiis  ,Electronics,Wearables,Mira,3196.11,3974.92,15
PROD-00048,Nova Plush Dolorem,Toys,Plush,Nova,3588.2,7632.32,201
PROD-00049,Summit Activity Cupiditate,Toys,Activity,Summit,3261.16,5841.33,206
PROD-00050,Zenith Men Corporis,Clothing,Men,Zenith,371.6,634.22,121
PROD-00051,River Skincare Officiis,Beauty,Skincare,River,2735.98,6112.32,27
PROD-00052,Mira Fragrance Doloribus,Beauty,Fragrance,Mira,1035.21,1552.47,213
PROD-00053,Bright Technology Molestiae,Books,Technology,Bright,296.12,388.26,154
PROD-00054,Orbit Outdoor Odit,Toys,Outdoor,Orbit,842.01,1581.67,217
PROD-00055,Zenith Technology Nam,Books,Technology,Zenith,1777.75,3061.79,139
PROD-00056,Zenith Technology Nam,Books,Technology,Zenith,1777.75,3061.79,139
PROD-00057,Mira Women Aut,Clothing,Women,Mira,143.42,282.39,167
PROD-00058,Zenith Indoor Quae,Sports,Indoor,Zenith,637.75,1175.18,178
PROD-00059,Orbit Outdoor Consequuntur,Sports,Outdoor,Orbit,1140.09,2511.6,6
PROD-00060,Bright Dining Et,Furniture,Dining,Bright,99.52,237.1,210
PROD-00061,Mira Accessories Rem,Sports,Accessories,Mira,2798.48,5463.54,121
PROD-00062,Nova Storage Quas,Furniture,Storage,Nova,828.65,1862.58,76
PROD-00063,sUMMIT mEN fUGIT,Clothing,Men,Summit,2894.2,3476.49,106
PROD-00064,Apex Men Natus,Clothing,Men,Apex,658.53,1420.54,195
PROD-00065,Mira Women Aperiam,Clothing,Women,Mira,110.71,216.13,61
PROD-00066,Nova Haircare Blanditiis,Beauty,Haircare,Nova,2400.08,3693.95,144
PROD-00067,Nova Plush Molestiae,Toys,Plush,Nova,1069.11,1617.12,196
PROD-00068,Orbit Bedroom Ipsam,Furniture,Bedroom,Orbit,257.81,433.18,54
PROD-00069,Summit Fiction Autem,Books,Fiction,Summit,1583.41,2053.29,143
PROD-00070,  bright living room odit  ,Furniture,Living Room,Bright,3009.25,3934.05,118
PROD-00071,Summit Wellness Dolorem,Beauty,Wellness,Summit,2321.96,4148.68,166
PROD-00072,Apex Educational Ad,Toys,Educational,Apex,2105.79,3019.13,10
PROD-00073,Nova Decor Tenetur,Home,Decor,Nova,2419.63,4239.87,68
PROD-00074,Nexa Technology Optio,Books,Technology,Nexa,1848.8,3663.87,166
PROD-00075,Bright Living Room Sequi,Furniture,Living Room,Bright,3276.44,7351.88,169
PROD-00076,River Makeup Earum,Beauty,Makeup,River,2605.72,4130.22,200
PROD-00077,Zenith Indoor Delectus,Sports,Indoor,Zenith,3261.49,7464.15,162
PROD-00078,Zenith Lighting Excepturi,Home,Lighting,Zenith,3063.73,3922.2,-6
PROD-00079,Nexa Accessories Aspernatur,Electronics,Accessories,Nexa,2485.8,4446.68,74
PROD-00080,Apex Wearables Velit,Electronics,Wearables,Apex,707.98,983.86,98
PROD-00081,Nexa Fitness Deleniti,Sports,Fitness,Nexa,939.4,1927.03,35
PROD-00082,River Skincare Distinctio,Beauty,Skincare,River,1849.14,2270.75,143
PROD-00083,Urban  Makeup  Atque,Beauty,Makeup,Urban,192.12,345.94,137
PROD-00084,Zenith Storage Blanditiis,Furniture,Storage,Zenith,784.01,1719.57,56
PROD-00085,Apex Kitchen Odit,Home,Kitchen,Apex,3277.62,3784.69,104
PROD-00086,Summit Plush Deleniti,Toys,Plush,Summit,735.18,1420.37,63
PROD-00087,Orbit Plush In,Toys,Plush,Orbit,2981.32,5028.44,160
PROD-00088,Zenith Wellness Voluptatum,Beauty,Wellness,Zenith,3214.79,5887.37,175
PROD-00089,Bright Footwear Minus,Clothing,Footwear,Bright,3341.6,4449.54,215
PROD-00090,Orbit Plush Natus,Toys,Plush,Orbit,2040.43,3622.72,213
PROD-00091,Mira Living Room Eligendi,Furniture,Living Room,Mira,1418.25,1971.4,31
PROD-00092,Apex Footwear Doloribus,Clothing,Footwear,Apex,2273.37,4680.38,56
PROD-00093,  zenith fitness dignissimos  ,Sports,Fitness,Zenith,2055.92,4537.04,58
PROD-00094,mIRA sTORAGE eA,Home,Storage,Mira,1135.21,1981.08,6
PROD-00095,River Men Atque,Clothing,Men,River,367.36,660.2,174
PROD-00096,Nova Office Suscipit,Furniture,Office,Nova,2229.48,3841.63,1
PROD-00097,Bright Fiction Necessitatibus,Books,Fiction,Bright,3117.54,4828.28,157
PROD-00098,Mira Plush Amet,Toys,Plush,Mira,3399.43,7265.55,3
PROD-00099,Summit Haircare Ullam,Beauty,Haircare,Summit,1141.3,2163.42,153
PROD-00100,Orbit Living Room Ratione,Furniture,Living Room,Orbit,2910.61,3410.05,204
PROD-00101,Urban Bedroom Minus,Furniture,Bedroom,Urban,94.25,140.89,204
PROD-00102,Orbit Wearables Alias,Electronics,Wearables,Orbit,3559.29,7029.19,171
PROD-00103,Zenith Footwear Recusandae,Clothing,Footwear,Zenith,2089.19,2974.6,212
PROD-00104,Nova Wellness Non,Beauty,Wellness,Nova,3205.82,5829.58,165
PROD-00105,Mira Fiction Facilis,Books,Fiction,Mira,564.84,657.95,27
PROD-00106,River Audio Quia,Electronics,Audio,River,3204.23,7015.76,136
PROD-00107,River Fragrance Quam,Beauty,Fragrance,River,2001.82,3942.02,122
PROD-00108,Urban Skincare Sint,Beauty,Skincare,Urban,683.29,1096.75,181
PROD-00109,Nexa Indoor Accusantium,Sports,Indoor,Nexa,815.36,1378.01,42
PROD-00110,River Seasonal Officia,Clothing,Seasonal,River,2843.85,5700.99,0
PROD-00111,River Seasonal Officia,Clothing,Seasonal,River,2843.85,5700.99,0
PROD-00112,Nova Seasonal Soluta,Clothing,Seasonal,Nova,3052.8,6287.32,76
PROD-00113,Apex Cycling Laboriosam,Sports,Cycling,Apex,120.08,244.11,30
PROD-00114,River Outdoor Fugit,Toys,Outdoor,River,1266.04,3019.81,115
PROD-00115,River Plush Accusamus,Toys,Plush,River,2064.61,3653.86,209
PROD-00116,  nova wellness atque  ,Beauty,Wellness,Nova,3257.05,3963.92,71
PROD-00117,Zenith Wellness Ut,Beauty,Wellness,Zenith,3161.41,7547.0,131
PROD-00118,River Skincare Maxime,Beauty,Skincare,River,1842.35,2772.43,39
PROD-00119,Nexa Makeup Quod,Beauty,Makeup,Nexa,1556.72,2161.19,137
PROD-00120,River Women Cum,Clothing,Women,River,1984.18,4287.46,148
PROD-00121,Mira Skincare Doloribus,Beauty,Skincare,Mira,3404.34,6504.2,157
PROD-00122,Bright Mobile Labore,Electronics,Mobile,Bright,225.77,288.62,112
PROD-00123,River Bedding Natus,Home,Bedding,River,567.22,770.13,38
