cohort_month,month_0_percent,month_1_percent,month_2_percent,month_3_percent
2020-01-01,100.0,10.0,,
2020-02-01,100.0,,,
2020-03-01,100.0,,,7.14
2020-04-01,100.0,,,
2020-05-01,100.0,7.69,7.69,
2020-06-01,100.0,,,
2020-07-01,100.0,8.33,,
2020-08-01,100.0,,,
2020-09-01,100.0,,11.11,
2020-10-01,100.0,,9.09,
2020-11-01,100.0,8.33,8.33,
2020-12-01,100.0,,,9.09
2021-01-01,100.0,,,
2021-02-01,100.0,,,
2021-03-01,100.0,,,14.29
2021-04-01,100.0,,,
2021-05-01,100.0,20.0,,6.67
2021-06-01,100.0,12.5,25.0,
2021-07-01,100.0,,11.11,11.11
2021-08-01,100.0,,,
2021-09-01,100.0,,,12.5
2021-10-01,100.0,,,
2021-11-01,100.0,,12.5,
2021-12-01,100.0,16.67,,
2022-01-01,100.0,,11.11,11.11
2022-02-01,100.0,,,
2022-03-01,100.0,10.0,,
2022-04-01,100.0,,,
2022-05-01,100.0,,,22.22
2022-06-01,100.0,14.29,,
2022-07-01,100.0,33.33,,
2022-08-01,100.0,,,
2022-09-01,100.0,,,
2022-10-01,100.0,,,
2022-11-01,100.0,,,
2022-12-01,100.0,,,
2023-01-01,100.0,,25.0,
2023-02-01,100.0,,,
2023-03-01,100.0,,12.5,
2023-04-01,100.0,,,
2023-05-01,100.0,,,
2023-06-01,100.0,,,
2023-07-01,100.0,,,
2023-08-01,100.0,,,
2023-09-01,100.0,,,16.67
2023-10-01,100.0,,,
2023-11-01,100.0,,,
2023-12-01,100.0,,25.0,
2024-01-01,100.0,20.0,,
2024-02-01,100.0,12.5,,
2024-03-01,100.0,,,
2024-04-01,100.0,,,
2024-05-01,100.0,,,
2024-06-01,100.0,,,
2024-07-01,100.0,,,
2024-08-01,100.0,,,
2024-09-01,100.0,,,
2024-10-01,100.0,,,25.0
2024-12-01,100.0,,,
2025-01-01,100.0,,,
2025-02-01,100.0,,,50.0
2025-03-01,100.0,,,100.0
2025-04-01,100.0,,,
2025-06-01,100.0,,,
2025-07-01,100.0,,,
2025-11-01,100.0,,,
2026-01-01,100.0,,,
2026-02-01,100.0,,,
2026-05-01,100.0,,,
2026-06-01,100.0,,50.0,
2026-08-01,100.0,,,
