product_id,product_name,units_sold,lifetime_revenue
PROD-00211,Urban Office Nulla,94,119834.07
PROD-00158,Summit Comics Ab,81,102701.74
PROD-00236,Nexa Office Voluptatem,95,99375.81
PROD-00043,Urban Accessories Aperiam,69,94145.02
PROD-00022,Mira Academic Mollitia,76,88071.25
PROD-00167,Mira Office Facere,77,87413.82
PROD-00160,River Dining Quas,77,82905.05
PROD-00130,Urban Educational Harum,62,81701.88
PROD-00288,Urban  Makeup  Nisi,86,80736.43
PROD-00170,Mira Seasonal Facere,68,80167.19
PROD-00290,Nova Office Sed,81,79743.69
PROD-00027,Apex Wellness Minima,68,77572.57
PROD-00293,Apex Accessories Libero,89,76974.47
PROD-00067,Nova Plush Molestiae,70,76541.82
PROD-00234,Bright Haircare Amet,64,75952.76
PROD-00231,Summit Men Repellendus,69,75895.21
PROD-00026,Summit Technology Optio,62,75841.54
PROD-00024,Summit Bedding Vel,73,74823.06
PROD-00138,Mira Stem Ipsa,66,74077.69
PROD-00270,Urban Wearables Ab,75,73642.33
PROD-00090,Orbit Plush Natus,52,73238.43
PROD-00045,Urban Laptop Cumque,73,72736.14
PROD-00248,Orbit Women Nesciunt,89,72359.01
PROD-00062,Nova Storage Quas,83,72319.49
PROD-00213,Summit Outdoor Similique,69,71916.87
PROD-00208,Summit Academic Placeat,64,71268.42
PROD-00112,Nova Seasonal Soluta,64,70934.48
PROD-00142,Mira Fitness Cumque,70,70739.28
PROD-00072,Apex Educational Ad,79,69511.24
PROD-00200,Nexa Footwear Illo,71,69284.15
PROD-00259,Apex Wellness Minima,71,69067.99
PROD-00241,River Audio Natus,66,68969.43
PROD-00269,Urban Bedroom Cum,68,68683.38
PROD-00071,Summit Wellness Dolorem,49,68209.3
PROD-00201,River Storage Porro,69,68178.07
PROD-00221,River Stem Aliquam,50,68174.2
PROD-00100,Orbit Living Room Ratione,73,68085.55
PROD-00226,Mira Laptop Repellat,78,67999.75
PROD-00287,Mira Kids Similique,61,67899.05
PROD-00103,Zenith Footwear Recusandae,58,67762.35
PROD-00238,Mira Indoor Nihil,49,67721.04
PROD-00145,River Haircare Tenetur,61,67237.05
PROD-00245,Zenith Technology Optio,54,67071.2
PROD-00079,Nexa Accessories Aspernatur,66,66940.82
PROD-00073,Nova Decor Tenetur,59,66461.22
PROD-00194,Nexa Stem Fuga,71,65473.23
PROD-00030,River Makeup Voluptatem,55,64997.65
PROD-00261,Bright Fitness Fuga,70,64727.76
PROD-00114,River Outdoor Fugit,70,64337.5
PROD-00121,Mira Skincare Doloribus,47,64079.32
PROD-00256,Orbit Wellness Veniam,70,64074.15
PROD-00225,Nexa Kitchen Illum,47,64028.14
PROD-00001,Orbit  Outdoor  Minima,67,63982.35
PROD-00177,Zenith Fragrance Cum,61,63763.19
PROD-00048,Nova Plush Dolorem,62,63549.02
PROD-00189,Apex Self-Help Nam,65,63246.65
PROD-00280,Apex Fiction Dolore,66,63229.53
PROD-00081,Nexa Fitness Deleniti,59,63226.34
PROD-00289,Apex Women Totam,43,61704.52
PROD-00166,Nova  Accessories  Beatae,60,61497.01
PROD-00296,Summit Decor Ad,61,61009.37
PROD-00159,Mira Fiction Dolore,58,60955.22
PROD-00041,River Fitness Voluptates,73,60082.97
PROD-00250,Nexa Plush Ipsum,50,59763.08
PROD-00003,Bright Men Voluptate,54,59528.65
PROD-00091,Mira Living Room Eligendi,43,59381.09
PROD-00182,River Audio Quos,56,59360.06
PROD-00110,River Seasonal Officia,55,59356.99
PROD-00176,Mira Wearables Quos,61,59129.65
PROD-00033,Apex Audio Sit,64,58598.46
PROD-00171,River Footwear Eius,60,58551.52
PROD-00089,Bright Footwear Minus,63,58485.26
PROD-00019,Nova Skincare Alias,59,58082.32
PROD-00120,River Women Cum,43,58018.36
PROD-00247,Nexa  Women  Modi,73,57839.61
PROD-00099,Summit Haircare Ullam,53,57634.39
PROD-00135,Urban Accessories Ea,47,57558.24
PROD-00016,Urban Accessories Quibusdam,39,57088.03
PROD-00094,Mira Storage Ea,47,56913.43
PROD-00060,Bright Dining Et,64,56866.83
PROD-00044,River Lighting Velit,54,56689.75
PROD-00260,Nova Storage Ad,49,56237.54
PROD-00195,Zenith Self-Help Nobis,59,56180.92
PROD-00032,River Fiction Dolorum,56,56176.58
PROD-00206,Apex  Fitness  Facilis,66,55954.51
PROD-00199,River Wearables Alias,48,55664.13
PROD-00083,Urban  Makeup  Atque,58,55380.22
PROD-00104,Nova Wellness Non,53,55331.78
PROD-00014,Orbit Plush Debitis,53,55324.15
PROD-00131,Summit Bedding Ab,60,55247.56
PROD-00265,Bright Comics Itaque,57,55240.71
PROD-00292,River Audio Illo,49,55102.94
PROD-00141,Apex Decor Possimus,52,54996.47
PROD-00252,Apex Academic Dolorum,52,54252.22
PROD-00281,Mira Bedroom Porro,57,54155.92
PROD-00058,Zenith Indoor Quae,53,54009.65
PROD-00004,Summit Accessories Vitae,60,53397.37
PROD-00286,Apex Educational Occaecati,60,53374.12
PROD-00161,River Kitchen Quibusdam,58,53309.15
PROD-00185,Orbit Educational Alias,55,53268.0
PROD-00082,River Skincare Distinctio,53,52829.54
PROD-00149,Bright Plush Omnis,41,52792.28
PROD-00282,Orbit Outdoor Minima,54,52393.75
PROD-00034,River Accessories Quas,42,52298.58
PROD-00087,Orbit Plush In,44,52196.99
PROD-00169,Nexa Comics Velit,51,52044.66
PROD-00010,Zenith Comics Ipsam,40,51988.88
PROD-00298,Zenith Office A,56,51440.53
PROD-00144,Urban Comics Fugiat,57,51393.6
PROD-00203,Apex Bedroom Itaque,62,51364.56
PROD-00264,River Lighting Cum,42,51054.1
PROD-00117,Zenith Wellness Ut,49,51005.53
