sales_month,product_id,product_name,revenue
2020-01,PROD-00210,Nova Fitness Nostrum,15818.3
2020-01,PROD-00130,Urban Educational Harum,15427.02
2020-01,PROD-00263,Bright Outdoor Voluptatem,11261.92
2020-01,PROD-00225,Nexa Kitchen Illum,9073.05
2020-01,PROD-00286,Apex Educational Occaecati,8532.44
2020-01,PROD-00069,Summit Fiction Autem,8496.45
2020-01,PROD-00281,Mira Bedroom Porro,8264.0
2020-01,PROD-00162,Mira Storage Maxime,7872.94
2020-01,PROD-00277,Bright Footwear Sed,7799.23
2020-01,PROD-00015,River Fragrance Temporibus,7676.17
2020-02,PROD-00114,River Outdoor Fugit,15157.62
2020-02,PROD-00146,River Fiction Repellendus,12426.66
2020-02,PROD-00043,Urban Accessories Aperiam,10695.16
2020-02,PROD-00265,Bright Comics Itaque,9697.72
2020-02,PROD-00292,River Audio Illo,9455.43
2020-02,PROD-00160,River Dining Quas,7436.83
2020-02,PROD-00086,Summit Plush Deleniti,7153.9
2020-02,PROD-00231,Summit Men Repellendus,5881.44
2020-02,PROD-00081,Nexa Fitness Deleniti,5642.15
2020-02,PROD-00079,Nexa Accessories Aspernatur,5238.06
2020-03,PROD-00041,River Fitness Voluptates,17148.05
2020-03,PROD-00216,River Audio Eligendi,15817.71
2020-03,PROD-00241,River Audio Natus,13059.78
2020-03,PROD-00293,Apex Accessories Libero,12126.97
2020-03,PROD-00039,Apex Living Room A,11207.69
2020-03,PROD-00282,Orbit Outdoor Minima,8440.92
2020-03,PROD-00232,River Outdoor Omnis,8022.97
2020-03,PROD-00134,Summit Haircare Ut,7869.53
2020-03,PROD-00071,Summit Wellness Dolorem,7010.68
2020-03,PROD-00001,Orbit  Outdoor  Minima,6905.89
2020-04,PROD-00073,Nova Decor Tenetur,14522.99
2020-04,PROD-00221,River Stem Aliquam,13774.08
2020-04,PROD-00154,Nexa Fragrance Similique,9685.32
2020-04,PROD-00250,Nexa Plush Ipsum,8948.49
2020-04,PROD-00028,Orbit Technology Repellat,7903.39
2020-04,PROD-00240,Zenith Wellness Perspiciatis,7548.3
2020-04,PROD-00246,Bright Haircare Consequuntur,7441.95
2020-04,PROD-00122,Bright Mobile Labore,6538.56
2020-04,PROD-00279,Nova Makeup Ullam,6366.01
2020-04,PROD-00034,River Accessories Quas,6147.49
2020-05,PROD-00138,Mira Stem Ipsa,10589.52
2020-05,PROD-00240,Zenith Wellness Perspiciatis,10476.3
2020-05,PROD-00060,Bright Dining Et,9569.21
2020-05,PROD-00275,River Bedding Repellendus,9331.6
2020-05,PROD-00158,Summit Comics Ab,9331.19
2020-05,PROD-00219,Zenith Wearables Molestiae,9233.92
2020-05,PROD-00162,Mira Storage Maxime,9078.67
2020-05,PROD-00031,Nova Bedding Suscipit,9071.21
2020-05,PROD-00043,Urban Accessories Aperiam,8238.69
2020-05,PROD-00026,Summit Technology Optio,7979.79
2020-06,PROD-00112,Nova Seasonal Soluta,9777.2
2020-06,PROD-00166,Nova  Accessories  Beatae,9380.35
2020-06,PROD-00268,Summit Fiction Praesentium,9074.67
2020-06,PROD-00050,Zenith Men Corporis,8346.45
2020-06,PROD-00095,River Men Atque,8119.74
2020-06,PROD-00225,Nexa Kitchen Illum,7787.83
2020-06,PROD-00265,Bright Comics Itaque,7258.09
2020-06,PROD-00181,Bright Academic Quo,6045.44
2020-06,PROD-00118,River Skincare Maxime,5736.62
2020-06,PROD-00199,River Wearables Alias,4988.44
2020-07,PROD-00117,Zenith Wellness Ut,15388.52
2020-07,PROD-00164,River Outdoor Est,11629.56
2020-07,PROD-00253,Apex Skincare Voluptatibus,11168.23
2020-07,PROD-00201,River Storage Porro,9432.99
2020-07,PROD-00047,Mira Wearables Blanditiis,9011.7
2020-07,PROD-00158,Summit Comics Ab,7489.06
2020-07,PROD-00006,Nova Mobile Quisquam,7185.66
2020-07,PROD-00043,Urban Accessories Aperiam,7013.01
2020-07,PROD-00093,Zenith Fitness Dignissimos,6749.82
2020-07,PROD-00091,Mira Living Room Eligendi,6690.46
2020-08,PROD-00045,Urban Laptop Cumque,5786.03
2020-08,PROD-00206,Apex  Fitness  Facilis,5775.77
2020-08,PROD-00081,Nexa Fitness Deleniti,4980.88
2020-08,PROD-00090,Orbit Plush Natus,4398.89
2020-08,PROD-00187,Nexa Stem Quisquam,3940.32
2020-08,PROD-00021,River Kitchen Architecto,3930.26
2020-08,PROD-00110,River Seasonal Officia,3602.49
2020-08,PROD-00017,Urban Comics Quo,2322.15
2020-08,PROD-00234,Bright Haircare Amet,2188.02
2020-08,PROD-00213,Summit Outdoor Similique,2145.3
2020-09,PROD-00256,Orbit Wellness Veniam,13838.51
2020-09,PROD-00078,Zenith Lighting Excepturi,8859.42
2020-09,PROD-00287,Mira Kids Similique,8141.77
2020-09,PROD-00228,Zenith Lighting Corporis,8111.45
2020-09,PROD-00034,River Accessories Quas,7417.42
2020-09,PROD-00300,River Academic Voluptatum,7153.42
2020-09,PROD-00132,Nexa Academic Culpa,6895.87
2020-09,PROD-00019,Nova Skincare Alias,6760.19
2020-09,PROD-00142,Mira Fitness Cumque,6053.16
2020-09,PROD-00158,Summit Comics Ab,5730.25
2020-10,PROD-00024,Summit Bedding Vel,18089.08
2020-10,PROD-00022,Mira Academic Mollitia,15421.6
2020-10,PROD-00123,River Bedding Natus,11095.07
2020-10,PROD-00110,River Seasonal Officia,9680.44
2020-10,PROD-00145,River Haircare Tenetur,8128.71
2020-10,PROD-00089,Bright Footwear Minus,7994.43
2020-10,PROD-00019,Nova Skincare Alias,7861.51
2020-10,PROD-00086,Summit Plush Deleniti,6007.98
2020-10,PROD-00284,Urban Self-Help Temporibus,4669.1
2020-10,PROD-00141,Apex Decor Possimus,4365.39
2020-11,PROD-00236,Nexa Office Voluptatem,14596.45
2020-11,PROD-00170,Mira Seasonal Facere,10564.01
2020-11,PROD-00188,Nova Wellness Nihil,10035.34
2020-11,PROD-00090,Orbit Plush Natus,9598.41
2020-11,PROD-00280,Apex Fiction Dolore,7820.95
2020-11,PROD-00137,Bright Kids Quasi,6493.4
2020-11,PROD-00056,Zenith Technology Nam,6462.31
2020-11,PROD-00231,Summit Men Repellendus,6178.83
2020-11,PROD-00208,Summit Academic Placeat,5937.96
2020-11,PROD-00143,Mira Stem Totam,5532.8
2020-12,PROD-00144,Urban Comics Fugiat,12780.94
2020-12,PROD-00044,River Lighting Velit,10301.77
2020-12,PROD-00002,Orbit Office Odio,10049.83
2020-12,PROD-00195,Zenith Self-Help Nobis,9518.34
