customer_id,order_date,next_purchase_date
CUST-00001,2023-07-28,
CUST-00002,2023-10-16,2025-12-08
CUST-00002,2025-12-08,2025-12-16
CUST-00002,2025-12-16,
CUST-00003,2021-01-13,
CUST-00004,2021-05-03,2021-12-23
CUST-00004,2021-12-23,2023-04-27
CUST-00004,2023-04-27,2024-11-22
CUST-00004,2024-11-22,
CUST-00005,2021-05-25,2021-06-23
CUST-00005,2021-06-23,2025-11-18
CUST-00005,2025-11-18,
CUST-00006,2020-06-07,2023-08-14
CUST-00006,2023-08-14,
CUST-00007,2020-03-10,2021-01-09
CUST-00007,2021-01-09,2022-04-11
CUST-00007,2022-04-11,
CUST-00008,2026-08-10,
CUST-00009,2023-04-02,2024-09-19
CUST-00009,2024-09-19,2024-09-23
CUST-00009,2024-09-23,2025-11-10
CUST-00009,2025-11-10,2026-07-26
CUST-00009,2026-07-26,
CUST-00010,2022-03-11,
CUST-00012,2023-04-04,2025-01-01
CUST-00012,2025-01-01,2025-12-25
CUST-00012,2025-12-25,
CUST-00014,2024-06-02,2026-08-06
CUST-00014,2026-08-06,
CUST-00015,2021-03-20,2021-08-24
CUST-00015,2021-08-24,2026-04-17
CUST-00015,2026-04-17,2026-06-07
CUST-00015,2026-06-07,2026-08-10
CUST-00015,2026-08-10,2026-08-10
CUST-00015,2026-08-10,
CUST-00016,2021-03-16,2024-07-14
CUST-00016,2024-07-14,2026-08-10
CUST-00016,2026-08-10,
CUST-00017,2022-11-06,2024-02-22
CUST-00017,2024-02-22,2024-03-27
CUST-00017,2024-03-27,2024-10-15
CUST-00017,2024-10-15,
CUST-00018,2021-10-21,2023-08-23
CUST-00018,2023-08-23,
CUST-00019,2021-01-10,2021-07-28
CUST-00019,2021-07-28,2022-04-01
CUST-00019,2022-04-01,2023-03-20
CUST-00019,2023-03-20,2024-06-23
CUST-00019,2024-06-23,
CUST-00020,2020-03-19,2020-11-17
CUST-00020,2020-11-17,2022-07-30
CUST-00020,2022-07-30,
CUST-00021,2021-02-21,2023-05-01
CUST-00021,2023-05-01,2026-08-10
CUST-00021,2026-08-10,
CUST-00022,2021-04-17,2022-10-12
CUST-00022,2022-10-12,
CUST-00023,2022-06-26,
CUST-00024,2021-03-19,2021-06-29
CUST-00024,2021-06-29,2026-03-22
CUST-00024,2026-03-22,
CUST-00025,2025-03-06,2025-06-08
CUST-00025,2025-06-08,2025-06-12
CUST-00025,2025-06-12,2026-08-10
CUST-00025,2026-08-10,
CUST-00026,2022-01-24,2022-03-01
CUST-00026,2022-03-01,2023-02-17
CUST-00026,2023-02-17,2023-03-03
CUST-00026,2023-03-03,2025-08-02
CUST-00026,2025-08-02,2026-08-10
CUST-00026,2026-08-10,
CUST-00028,2021-04-21,2024-11-27
CUST-00028,2024-11-27,2025-09-13
CUST-00028,2025-09-13,2026-02-23
CUST-00028,2026-02-23,
CUST-00029,2020-04-03,2021-07-14
CUST-00029,2021-07-14,2021-12-09
CUST-00029,2021-12-09,2024-06-09
CUST-00029,2024-06-09,2026-04-04
CUST-00029,2026-04-04,
CUST-00030,2022-10-17,2023-02-12
CUST-00030,2023-02-12,
CUST-00031,2026-02-26,
CUST-00032,2022-03-10,
CUST-00033,2020-04-22,2020-09-13
CUST-00033,2020-09-13,2026-08-10
CUST-00033,2026-08-10,
CUST-00034,2020-10-09,2021-06-09
CUST-00034,2021-06-09,
CUST-00035,2022-12-14,
CUST-00036,2021-12-11,2025-07-02
CUST-00036,2025-07-02,2026-05-28
CUST-00036,2026-05-28,
CUST-00038,2021-05-29,2023-04-02
CUST-00038,2023-04-02,2025-09-27
CUST-00038,2025-09-27,2025-10-29
CUST-00038,2025-10-29,
CUST-00039,2021-12-21,2022-01-23
CUST-00039,2022-01-23,2023-01-03
CUST-00039,2023-01-03,2026-08-10
CUST-00039,2026-08-10,
CUST-00040,2021-07-22,2023-01-13
CUST-00040,2023-01-13,2026-08-10
CUST-00040,2026-08-10,
CUST-00041,2022-06-24,2022-07-10
CUST-00041,2022-07-10,2023-01-03
CUST-00041,2023-01-03,2025-11-05
CUST-00041,2025-11-05,
CUST-00042,2020-05-28,2025-08-18
CUST-00042,2025-08-18,
CUST-00043,2020-05-30,2021-11-02
CUST-00043,2021-11-02,
CUST-00044,2023-10-04,2026-03-21
CUST-00044,2026-03-21,
CUST-00045,2020-07-24,2022-06-21
CUST-00045,2022-06-21,2022-12-16
CUST-00045,2022-12-16,2023-04-14
CUST-00045,2023-04-14,2024-06-23
CUST-00045,2024-06-23,2025-12-09
CUST-00045,2025-12-09,
CUST-00046,2024-02-05,2024-02-21
CUST-00046,2024-02-21,2026-05-12
CUST-00046,2026-05-12,
CUST-00047,2023-01-16,2026-01-28
CUST-00047,2026-01-28,
CUST-00048,2020-09-12,2021-08-30
CUST-00048,2021-08-30,2025-12-01
CUST-00048,2025-12-01,2026-03-23
CUST-00048,2026-03-23,
CUST-00049,2024-05-28,2026-03-01
CUST-00049,2026-03-01,2026-08-10
CUST-00049,2026-08-10,
CUST-00050,2024-01-18,2026-03-15
CUST-00050,2026-03-15,
CUST-00052,2022-04-25,2022-08-20
CUST-00052,2022-08-20,2023-02-14
CUST-00052,2023-02-14,2024-05-20
CUST-00052,2024-05-20,
CUST-00053,2020-05-10,2020-07-30
CUST-00053,2020-07-30,2026-02-13
CUST-00053,2026-02-13,
CUST-00054,2021-11-21,2023-07-05
CUST-00054,2023-07-05,2024-11-15
CUST-00054,2024-11-15,
CUST-00055,2021-03-28,2021-07-03
CUST-00055,2021-07-03,
CUST-00056,2021-08-08,
CUST-00058,2023-01-16,2023-03-20
CUST-00058,2023-03-20,2025-07-22
CUST-00058,2025-07-22,2025-12-03
CUST-00058,2025-12-03,2026-08-10
CUST-00058,2026-08-10,
CUST-00059,2023-10-05,
CUST-00060,2020-03-23,2023-03-19
CUST-00060,2023-03-19,2024-04-08
CUST-00060,2024-04-08,
CUST-00061,2021-08-17,2024-01-27
CUST-00061,2024-01-27,2024-05-27
CUST-00061,2024-05-27,2026-08-10
CUST-00061,2026-08-10,
CUST-00062,2020-01-25,2020-05-14
CUST-00062,2020-05-14,2023-07-01
CUST-00062,2023-07-01,2026-04-25
CUST-00062,2026-04-25,
CUST-00063,2020-12-30,2021-03-28
CUST-00063,2021-03-28,2022-05-08
CUST-00063,2022-05-08,2025-07-25
CUST-00063,2025-07-25,
CUST-00064,2023-07-28,2025-04-18
CUST-00064,2025-04-18,2025-09-01
CUST-00064,2025-09-01,
CUST-00065,2026-08-10,
CUST-00066,2021-07-07,2021-10-22
CUST-00066,2021-10-22,2023-01-30
CUST-00066,2023-01-30,2024-03-30
CUST-00066,2024-03-30,2026-02-06
CUST-00066,2026-02-06,2026-08-10
CUST-00066,2026-08-10,
CUST-00067,2020-04-15,2021-01-30
CUST-00067,2021-01-30,2024-10-02
CUST-00067,2024-10-02,2026-08-10
CUST-00067,2026-08-10,
CUST-00068,2024-06-27,
CUST-00069,2023-03-08,2024-01-09
CUST-00069,2024-01-09,2024-02-17
CUST-00069,2024-02-17,2025-04-03
