sales_date,cumulative_revenue
2020-01-03,7603.3
2020-01-04,23123.37
2020-01-05,30922.6
2020-01-10,56790.52
2020-01-11,68217.1
2020-01-13,87820.6
2020-01-14,90861.32
2020-01-15,92159.54
2020-01-17,112999.59
2020-01-20,120581.86
2020-01-25,184181.9
2020-01-27,193551.18
2020-01-29,224624.95
2020-02-02,236755.68
2020-02-06,238238.99
2020-02-09,242014.48
2020-02-13,246489.51
2020-02-14,255519.94
2020-02-19,283104.23
2020-02-21,305057.41
2020-02-26,345254.6
2020-02-27,364625.37
2020-02-29,379887.35
2020-03-06,399666.25
2020-03-08,449673.75
2020-03-10,451383.45
2020-03-14,467435.33
2020-03-16,480525.96
2020-03-17,498591.15
2020-03-19,510250.79
2020-03-20,510445.11
2020-03-23,534703.74
2020-04-01,536221.68
2020-04-03,560778.23
2020-04-08,576531.15
2020-04-09,586314.72
2020-04-11,592680.72
2020-04-12,599185.51
2020-04-15,616720.44
2020-04-22,621735.49
2020-04-23,623944.37
2020-04-26,645721.06
2020-04-28,682301.03
2020-05-10,700820.74
2020-05-14,709591.51
2020-05-15,726369.9
2020-05-18,736218.94
2020-05-20,751732.71
2020-05-21,776333.38
2020-05-26,802778.15
2020-05-27,812012.06
2020-05-28,865679.03
2020-05-29,873658.81
2020-05-30,888008.06
2020-06-01,904676.12
2020-06-02,922402.92
2020-06-07,935239.82
2020-06-14,940913.4
2020-06-15,946650.02
2020-06-16,949896.3
2020-06-21,963424.03
2020-06-22,974281.03
2020-06-23,984521.17
2020-06-24,988125.99
2020-06-27,1016955.48
2020-07-03,1037497.8
2020-07-04,1044986.86
2020-07-08,1059337.16
2020-07-13,1079259.22
2020-07-15,1098224.44
2020-07-17,1110814.14
2020-07-19,1121801.31
2020-07-20,1123772.17
2020-07-23,1135026.86
2020-07-24,1149966.74
2020-07-27,1163480.16
2020-07-30,1167208.42
2020-07-31,1178016.94
2020-08-11,1184616.27
2020-08-14,1193466.19
2020-08-16,1215887.14
2020-08-21,1216831.5
2020-08-22,1222242.94
2020-08-29,1226641.84
2020-09-03,1230339.24
2020-09-11,1244904.0
2020-09-12,1286131.78
2020-09-13,1317234.78
2020-09-25,1328817.44
2020-09-26,1341246.61
2020-09-27,1345345.98
2020-10-02,1361466.96
2020-10-08,1400622.36
2020-10-09,1409704.86
2020-10-10,1411010.46
2020-10-11,1420070.95
2020-10-13,1461352.15
2020-10-16,1463060.91
2020-10-21,1465858.91
2020-10-26,1472340.61
2020-11-02,1472440.55
2020-11-06,1473191.93
2020-11-07,1488062.24
2020-11-09,1489687.72
2020-11-13,1534973.67
2020-11-17,1542008.06
2020-11-19,1554435.82
2020-11-23,1560614.65
2020-11-24,1575211.1
2020-11-27,1577136.88
2020-11-29,1578042.72
2020-11-30,1601098.02
2020-12-01,1601568.05
2020-12-02,1610641.75
2020-12-05,1621568.49
2020-12-08,1628032.72
2020-12-12,1631576.05
2020-12-16,1644942.96
2020-12-21,1676984.66
2020-12-23,1680113.27
2020-12-25,1710750.06
2020-12-26,1712189.42
2020-12-30,1745785.26
2021-01-02,1754098.32
2021-01-03,1770455.18
2021-01-06,1775545.66
2021-01-07,1778881.56
2021-01-09,1784055.64
2021-01-10,1794841.69
2021-01-13,1807420.95
2021-01-16,1844234.23
2021-01-22,1850354.01
2021-01-28,1873215.54
2021-01-30,1875865.11
2021-01-31,1879349.88
2021-02-01,1899968.67
2021-02-02,1900520.55
2021-02-03,1903685.74
2021-02-06,1905776.38
2021-02-10,1917922.44
2021-02-11,1925393.16
2021-02-12,1932281.31
2021-02-17,1952553.07
2021-02-19,1968417.66
2021-02-21,2007809.13
2021-02-24,2014738.59
2021-02-25,2018231.28
2021-02-26,2037485.63
2021-03-03,2054749.74
2021-03-05,2068544.02
2021-03-06,2090148.4
2021-03-09,2133723.88
2021-03-10,2136183.9
2021-03-16,2145783.24
2021-03-19,2177050.84
2021-03-20,2184220.74
2021-03-21,2199814.45
2021-03-25,2227208.44
2021-03-28,2261970.68
2021-03-31,2274627.7
2021-04-02,2290386.06
2021-04-08,2312723.6
2021-04-13,2318922.23
2021-04-14,2336568.95
2021-04-17,2348913.41
2021-04-21,2351368.74
2021-04-22,2358033.03
2021-04-29,2362142.78
2021-04-30,2362603.88
2021-05-01,2381505.97
2021-05-02,2385416.59
2021-05-03,2404252.97
2021-05-06,2423822.7
2021-05-08,2447427.88
2021-05-15,2463486.32
2021-05-19,2469955.89
2021-05-20,2484881.63
2021-05-22,2508614.57
2021-05-26,2519147.9
2021-05-29,2534391.43
2021-06-02,2539990.59
2021-06-04,2545772.73
2021-06-05,2550623.24
2021-06-06,2562382.0
2021-06-08,2574341.55
2021-06-09,2576411.72
2021-06-12,2593532.6
2021-06-17,2600728.87
2021-06-18,2620008.53
2021-06-21,2638117.51
2021-06-23,2666395.54
2021-06-24,2679544.21
2021-06-25,2696594.04
2021-06-27,2702268.43
2021-06-29,2715172.22
2021-07-07,2716105.89
2021-07-08,2730313.5
2021-07-12,2740617.31
2021-07-13,2743023.33
2021-07-14,2749803.47
2021-07-15,2760752.07
2021-07-17,2769987.58
2021-07-18,2776680.13
2021-07-21,2784875.4
2021-07-22,2795281.65
2021-07-23,2820022.05
2021-07-24,2841397.42
2021-07-29,2853681.39
2021-07-30,2864917.68
2021-08-03,2870719.69
2021-08-04,2873027.63
2021-08-05,2875855.25
2021-08-07,2896731.98
2021-08-08,2908606.48
2021-08-09,2925300.94
2021-08-12,2945674.01
2021-08-13,2948561.28
2021-08-17,2949494.49
2021-08-18,2957614.19
2021-08-19,2966535.23
2021-08-24,3028408.15
2021-08-25,3036869.78
2021-08-26,3053485.95
2021-08-30,3065200.56
2021-09-02,3078532.0
2021-09-06,3082215.31
2021-09-08,3088727.58
2021-09-09,3101775.98
2021-09-11,3103691.15
2021-09-12,3104779.24
2021-09-13,3130645.04
2021-09-14,3171132.86
2021-09-15,3174457.68
2021-09-16,3223522.99
2021-09-19,3236863.14
2021-09-21,3244620.4
2021-09-23,3248567.17
2021-09-24,3274410.56
2021-09-25,3284442.76
2021-09-27,3289850.24
2021-09-30,3293720.37
2021-10-03,3297618.54
2021-10-07,3318130.8
2021-10-12,3320065.64
2021-10-13,3322595.69
2021-10-14,3332745.51
2021-10-16,3339505.51
2021-10-17,3344468.49
2021-10-18,3355653.64
2021-10-19,3362997.25
2021-10-21,3370798.62
2021-10-22,3394806.15
2021-10-28,3400558.14
2021-10-29,3406877.42
2021-10-30,3416292.03
2021-11-01,3429062.93
2021-11-06,3433085.02
2021-11-09,3440210.74
2021-11-14,3450196.34
2021-11-17,3451859.27
2021-11-18,3478549.66
2021-11-21,3481194.39
2021-11-22,3485749.3
2021-11-25,3494067.29
2021-12-03,3494614.94
2021-12-10,3500295.36
2021-12-11,3508733.49
2021-12-12,3519407.62
2021-12-13,3551367.79
2021-12-14,3562791.58
2021-12-15,3585213.76
2021-12-18,3595822.63
2021-12-21,3600002.92
2021-12-23,3614904.93
2021-12-24,3632603.87
2021-12-25,3679575.49
2021-12-30,3698152.19
2022-01-05,3700568.18
2022-01-06,3705221.29
2022-01-09,3710558.93
2022-01-12,3739493.65
2022-01-13,3741641.78
2022-01-19,3748155.95
2022-01-23,3750649.76
2022-01-24,3764635.56
2022-01-25,3773754.23
2022-02-02,3802423.95
2022-02-05,3809785.65
2022-02-06,3821756.27
2022-02-22,3854379.14
2022-03-01,3859475.8
2022-03-03,3874511.44
2022-03-04,3880390.95
2022-03-10,3888170.38
2022-03-11,3927257.55
2022-03-13,3928551.42
2022-03-19,3952085.15
2022-03-22,3965713.6
2022-03-29,3977381.24
2022-03-31,3991211.9
2022-04-01,4014315.97
2022-04-06,4016123.53
2022-04-09,4027843.65
2022-04-11,4031189.8
2022-04-12,4047217.76
2022-04-23,4081056.65
2022-04-25,4087172.45
2022-04-26,4089194.15
2022-04-27,4104881.56
2022-05-06,4117044.77
2022-05-08,4123433.11
2022-05-09,4127241.89
2022-05-11,4167716.47
2022-05-12,4194695.53
2022-05-16,4226604.35
2022-05-19,4240608.97
2022-05-20,4250584.08
2022-05-21,4273812.8
2022-05-22,4285302.32
2022-05-23,4300625.06
2022-05-25,4309094.39
2022-05-29,4318131.56
2022-06-02,4331983.76
2022-06-03,4333534.05
2022-06-06,4337937.56
2022-06-10,4362896.31
2022-06-15,4387393.48
2022-06-21,4399751.95
2022-06-22,4411944.43
2022-06-23,4417529.22
2022-06-24,4423073.8
2022-06-26,4439044.83
2022-06-30,4439520.65
2022-07-04,4443802.75
2022-07-05,4497480.47
2022-07-10,4514204.1
2022-07-12,4532352.93
2022-07-18,4548429.02
2022-07-19,4556964.46
2022-07-24,4574647.34
2022-07-25,4580512.77
2022-07-27,4590494.39
2022-07-28,4595218.72
2022-07-29,4605828.16
2022-07-30,4622093.33
2022-08-01,4625377.96
2022-08-04,4628673.63
2022-08-07,4638419.12
2022-08-13,4649921.97
2022-08-14,4651933.52
2022-08-19,4661289.96
2022-08-20,4669355.53
2022-08-22,4674790.03
2022-08-24,4683550.57
2022-08-28,4701260.92
2022-08-30,4705844.36
2022-08-31,4714064.52
2022-09-04,4721196.09
2022-09-08,4764511.51
2022-09-14,4771543.54
2022-09-16,4832197.01
2022-09-18,4860974.6
2022-09-29,4861289.77
2022-09-30,4875997.64
2022-10-06,4891139.31
2022-10-07,4892009.14
2022-10-10,4895026.19
2022-10-12,4916777.45
2022-10-14,4920679.62
2022-10-15,4929165.04
2022-10-17,4965640.44
2022-10-21,4973004.96
2022-10-22,4982865.95
2022-10-25,4990955.23
2022-11-06,5008259.71
2022-11-07,5030199.22
2022-11-08,5035387.29
2022-11-13,5043749.81
2022-11-14,5052701.06
2022-11-17,5093467.18
2022-11-18,5100054.33
2022-11-21,5107937.37
2022-11-27,5119027.45
2022-12-02,5132026.83
2022-12-05,5142788.47
2022-12-08,5160037.31
2022-12-09,5180135.09
2022-12-10,5203910.74
2022-12-14,5255539.62
2022-12-15,5278860.18
2022-12-16,5286340.1
2022-12-18,5316258.55
2022-12-19,5341440.36
2022-12-24,5367242.22
2023-01-03,5378837.07
2023-01-06,5426203.04
2023-01-09,5441844.92
2023-01-13,5491070.45
2023-01-14,5501224.99
2023-01-16,5508502.28
2023-01-17,5512065.74
2023-01-21,5525951.16
2023-01-24,5539765.88
2023-01-28,5552127.18
2023-01-30,5552774.59
2023-02-02,5556700.14
2023-02-04,5556937.62
