customer_id,first_purchased_category,latest_purchased_category
CUST-00001,Home,Home
CUST-00002,Books,Home
CUST-00003,Books,Sports
CUST-00004,Beauty,Toys
CUST-00005,Electronics,Sports
CUST-00006,Beauty,Clothing
CUST-00007,Beauty,Home
CUST-00008,Toys,Toys
CUST-00009,Books,Toys
CUST-00010,Beauty,Books
CUST-00012,Clothing,Home
CUST-00014,Beauty,Toys
CUST-00015,Electronics,Toys
CUST-00016,Beauty,Toys
CUST-00017,Beauty,Toys
CUST-00018,Beauty,Clothing
CUST-00019,Beauty,Toys
CUST-00020,Books,Toys
CUST-00021,Beauty,Sports
CUST-00022,Electronics,Sports
CUST-00023,Books,Home
CUST-00024,Sports,Beauty
CUST-00025,Beauty,Electronics
CUST-00026,Beauty,Furniture
CUST-00028,Furniture,Home
CUST-00029,Electronics,Furniture
CUST-00030,Beauty,Electronics
CUST-00031,Books,Furniture
CUST-00032,Beauty,Furniture
CUST-00033,Books,Sports
CUST-00034,Beauty,Clothing
CUST-00035,Clothing,Home
CUST-00036,Sports,Beauty
CUST-00038,Beauty,Furniture
CUST-00039,Beauty,Home
CUST-00040,Home,Sports
CUST-00041,Clothing,Furniture
CUST-00042,Beauty,Clothing
CUST-00043,Books,Toys
CUST-00044,Beauty,Home
CUST-00045,Books,Sports
CUST-00046,Beauty,Toys
CUST-00047,Beauty,Sports
CUST-00048,Furniture,Books
CUST-00049,Electronics,Electronics
CUST-00050,Beauty,Sports
CUST-00052,Clothing,Toys
CUST-00053,Beauty,Home
CUST-00054,Electronics,Home
CUST-00055,Books,Sports
CUST-00056,Home,Toys
CUST-00058,Home,Electronics
CUST-00059,Books,Toys
CUST-00060,Electronics,Sports
CUST-00061,Clothing,Sports
CUST-00062,Furniture,Toys
CUST-00063,Beauty,Electronics
CUST-00064,Beauty,Books
CUST-00066,Beauty,Toys
CUST-00067,Books,Sports
CUST-00068,Beauty,Beauty
CUST-00069,Beauty,Home
CUST-00070,Beauty,Electronics
CUST-00071,Beauty,Books
CUST-00072,Beauty,Toys
CUST-00073,Books,Electronics
CUST-00074,Electronics,Furniture
CUST-00075,Beauty,Sports
CUST-00076,Books,Home
CUST-00077,Beauty,Sports
CUST-00078,Furniture,Toys
CUST-00079,Beauty,Books
CUST-00080,Beauty,Beauty
CUST-00081,Beauty,Toys
CUST-00082,Home,Sports
CUST-00083,Electronics,Toys
CUST-00084,Beauty,Toys
CUST-00085,Beauty,Sports
CUST-00086,Beauty,Toys
CUST-00087,Beauty,Sports
CUST-00089,Beauty,Beauty
CUST-00091,Beauty,Home
CUST-00092,Sports,Clothing
CUST-00093,Furniture,Sports
CUST-00094,Electronics,Toys
CUST-00095,Books,Toys
CUST-00096,Clothing,Sports
CUST-00097,Beauty,Toys
CUST-00098,Books,Electronics
CUST-00099,Electronics,Home
CUST-00100,Sports,Furniture
CUST-00102,Beauty,Sports
CUST-00103,Beauty,Home
CUST-00104,Beauty,Toys
CUST-00105,Clothing,Home
CUST-00106,Clothing,Clothing
CUST-00107,Electronics,Books
CUST-00108,Books,Sports
CUST-00109,Electronics,Sports
CUST-00110,Electronics,Furniture
CUST-00111,Beauty,Sports
CUST-00112,Clothing,Sports
CUST-00113,Beauty,Sports
CUST-00114,Books,Furniture
CUST-00115,Furniture,Beauty
CUST-00116,Furniture,Toys
CUST-00117,Books,Clothing
CUST-00118,Books,Furniture
CUST-00119,Beauty,Electronics
CUST-00120,Beauty,Furniture
CUST-00121,Beauty,Furniture
CUST-00123,Books,Beauty
CUST-00124,Clothing,Home
CUST-00125,Furniture,Sports
CUST-00126,Books,Toys
CUST-00127,Sports,Sports
CUST-00128,Clothing,Toys
CUST-00129,Beauty,Electronics
CUST-00131,Books,Sports
CUST-00132,Furniture,Toys
CUST-00134,Electronics,Furniture
CUST-00135,Clothing,Furniture
CUST-00136,Books,Furniture
CUST-00138,Books,Toys
CUST-00139,Beauty,Toys
CUST-00140,Beauty,Sports
CUST-00142,Sports,Sports
CUST-00143,Beauty,Toys
CUST-00144,Toys,Toys
CUST-00145,Clothing,Sports
CUST-00146,Beauty,Home
CUST-00147,Beauty,Toys
CUST-00148,Books,Electronics
CUST-00149,Beauty,Home
CUST-00150,Sports,Sports
CUST-00152,Furniture,Beauty
CUST-00153,Beauty,Sports
CUST-00154,Electronics,Sports
CUST-00155,Beauty,Furniture
CUST-00156,Beauty,Toys
CUST-00157,Electronics,Sports
CUST-00158,Beauty,Home
CUST-00159,Books,Furniture
CUST-00160,Beauty,Sports
CUST-00161,Beauty,Toys
CUST-00162,Home,Furniture
CUST-00163,Clothing,Beauty
CUST-00164,Furniture,Toys
CUST-00165,Furniture,Electronics
CUST-00166,Beauty,Furniture
CUST-00167,Beauty,Beauty
CUST-00168,Clothing,Furniture
CUST-00169,Books,Clothing
CUST-00170,Clothing,Home
CUST-00171,Beauty,Home
CUST-00172,Clothing,Home
CUST-00173,Beauty,Clothing
CUST-00174,Furniture,Sports
CUST-00175,Books,Sports
CUST-00176,Books,Sports
CUST-00177,Beauty,Toys
CUST-00178,Furniture,Toys
CUST-00179,Beauty,Toys
CUST-00180,Books,Toys
CUST-00181,Beauty,Clothing
CUST-00182,Clothing,Toys
CUST-00183,Beauty,Sports
CUST-00184,Beauty,Sports
CUST-00185,Clothing,Toys
CUST-00186,Books,Toys
CUST-00187,Sports,Sports
CUST-00188,Books,Furniture
CUST-00189,Beauty,Toys
CUST-00190,Beauty,Furniture
CUST-00192,Clothing,Furniture
CUST-00193,Clothing,Toys
CUST-00194,Beauty,Toys
CUST-00195,Books,Furniture
CUST-00196,Clothing,Sports
CUST-00197,Beauty,Sports
CUST-00199,Electronics,Electronics
CUST-00200,Beauty,Toys
CUST-00202,Books,Sports
CUST-00203,Toys,Electronics
CUST-00204,Electronics,Sports
CUST-00205,Beauty,Electronics
CUST-00206,Beauty,Clothing
CUST-00207,Beauty,Furniture
CUST-00208,Beauty,Home
CUST-00209,Books,Sports
CUST-00210,Books,Toys
CUST-00211,Beauty,Toys
CUST-00213,Books,Electronics
CUST-00214,Beauty,Toys
CUST-00215,Books,Electronics
CUST-00216,Sports,Toys
CUST-00217,Sports,Electronics
CUST-00218,Sports,Furniture
CUST-00219,Furniture,Electronics
CUST-00220,Beauty,Toys
CUST-00221,Books,Home
CUST-00222,Beauty,Furniture
CUST-00223,Toys,Toys
CUST-00224,Electronics,Home
CUST-00225,Beauty,Toys
CUST-00226,Electronics,Sports
CUST-00227,Beauty,Clothing
CUST-00228,Beauty,Sports
CUST-00229,Sports,Sports
CUST-00230,Books,Electronics
CUST-00231,Furniture,Sports
CUST-00233,Beauty,Clothing
CUST-00234,Electronics,Toys
CUST-00235,Beauty,Home
CUST-00236,Beauty,Toys
CUST-00237,Furniture,Sports
CUST-00238,Clothing,Sports
CUST-00239,Clothing,Toys
CUST-00240,Electronics,Electronics
CUST-00242,Beauty,Toys
CUST-00243,Beauty,Toys
CUST-00244,Beauty,Sports
CUST-00245,Electronics,Books
CUST-00246,Books,Sports
CUST-00247,Clothing,Electronics
CUST-00248,Beauty,Toys
CUST-00249,Books,Sports
CUST-00250,Beauty,Home
CUST-00252,Beauty,Electronics
CUST-00253,Beauty,Toys
CUST-00254,Electronics,Books
CUST-00255,Sports,Toys
CUST-00256,Books,Toys
CUST-00257,Beauty,Toys
CUST-00258,Furniture,Sports
CUST-00259,Books,Sports
CUST-00260,Electronics,Sports
CUST-00261,Furniture,Toys
CUST-00262,Beauty,Sports
CUST-00264,Beauty,Home
CUST-00265,Books,Clothing
CUST-00266,Beauty,Sports
CUST-00267,Books,Toys
CUST-00268,Books,Toys
CUST-00269,Books,Sports
CUST-00270,Sports,Toys
CUST-00271,Clothing,Beauty
CUST-00272,Clothing,Books
CUST-00273,Home,Home
CUST-00274,Beauty,Electronics
CUST-00275,Beauty,Toys
CUST-00276,Books,Toys
CUST-00277,Electronics,Home
CUST-00278,Books,Furniture
CUST-00279,Beauty,Toys
CUST-00280,Books,Furniture
CUST-00282,Toys,Furniture
CUST-00283,Sports,Beauty
CUST-00284,Beauty,Sports
CUST-00285,Beauty,Toys
CUST-00286,Beauty,Toys
CUST-00287,Electronics,Electronics
CUST-00288,Beauty,Furniture
CUST-00289,Clothing,Toys
CUST-00290,Clothing,Electronics
CUST-00291,Furniture,Toys
CUST-00292,Furniture,Toys
CUST-00293,Books,Sports
CUST-00294,Furniture,Toys
CUST-00295,Books,Toys
CUST-00296,Electronics,Furniture
CUST-00297,Home,Home
CUST-00298,Electronics,Sports
CUST-00299,Beauty,Toys
CUST-00300,Books,Sports
CUST-00302,Books,Toys
CUST-00303,Home,Furniture
CUST-00305,Furniture,Furniture
CUST-00306,Beauty,Home
CUST-00307,Clothing,Home
CUST-00309,Beauty,Home
CUST-00310,Beauty,Books
CUST-00312,Sports,Furniture
CUST-00313,Toys,Toys
CUST-00314,Home,Furniture
CUST-00316,Clothing,Sports
CUST-00317,Beauty,Sports
CUST-00318,Beauty,Home
CUST-00320,Books,Clothing
CUST-00321,Electronics,Toys
CUST-00322,Clothing,Clothing
CUST-00323,Beauty,Sports
CUST-00324,Clothing,Sports
CUST-00325,Electronics,Toys
CUST-00326,Electronics,Home
CUST-00328,Books,Toys
CUST-00329,Beauty,Sports
