category,product_id,product_name,revenue,category_rank
Beauty,PROD-00288,Urban  Makeup  Nisi,80736.43,1
Beauty,PROD-00027,Apex Wellness Minima,77572.57,2
Beauty,PROD-00234,Bright Haircare Amet,75952.76,3
Beauty,PROD-00259,Apex Wellness Minima,69067.99,4
Beauty,PROD-00071,Summit Wellness Dolorem,68209.3,5
Beauty,PROD-00145,River Haircare Tenetur,67237.05,6
Beauty,PROD-00030,River Makeup Voluptatem,64997.65,7
Beauty,PROD-00121,Mira Skincare Doloribus,64079.32,8
Beauty,PROD-00256,Orbit Wellness Veniam,64074.15,9
Beauty,PROD-00177,Zenith Fragrance Cum,63763.19,10
Beauty,PROD-00019,Nova Skincare Alias,58082.32,11
Beauty,PROD-00099,Summit Haircare Ullam,57634.39,12
Beauty,PROD-00083,Urban  Makeup  Atque,55380.22,13
Beauty,PROD-00104,Nova Wellness Non,55331.78,14
Beauty,PROD-00082,River Skincare Distinctio,52829.54,15
Beauty,PROD-00117,Zenith Wellness Ut,51005.53,16
Beauty,PROD-00015,River Fragrance Temporibus,50980.12,17
Beauty,PROD-00088,Zenith Wellness Voluptatum,50545.74,18
Beauty,PROD-00005,Orbit Wellness Fuga,49425.21,19
Beauty,PROD-00240,Zenith Wellness Perspiciatis,49129.88,20
Beauty,PROD-00134,Summit Haircare Ut,49053.11,21
Beauty,PROD-00246,Bright Haircare Consequuntur,48273.72,22
Beauty,PROD-00129,Bright Fragrance Et,46310.21,23
Beauty,PROD-00107,River Fragrance Quam,46254.22,24
Beauty,PROD-00076,River Makeup Earum,46138.43,25
Beauty,PROD-00279,Nova Makeup Ullam,45231.33,26
Beauty,PROD-00295,Summit Fragrance Quaerat,44822.43,27
Beauty,PROD-00066,Nova Haircare Blanditiis,42531.18,28
Beauty,PROD-00154,Nexa Fragrance Similique,41595.23,29
Beauty,PROD-00119,Nexa Makeup Quod,39612.06,30
Beauty,PROD-00125,Orbit Fragrance Culpa,38143.97,31
Beauty,PROD-00136,Zenith Wellness Consequuntur,38106.84,32
Beauty,PROD-00035,Nexa Fragrance Dolores,34460.71,33
Beauty,PROD-00209,Mira Fragrance Deleniti,33630.81,34
Beauty,PROD-00052,Mira Fragrance Doloribus,32754.89,35
Beauty,PROD-00108,Urban Skincare Sint,32724.35,36
Beauty,PROD-00253,Apex Skincare Voluptatibus,28242.43,37
Beauty,PROD-00051,River Skincare Officiis,27918.2,38
Beauty,PROD-00205,Nova Fragrance Magnam,27648.58,39
Beauty,PROD-00188,Nova Wellness Nihil,27055.52,40
Beauty,PROD-00127,Mira Makeup Quis,26928.22,41
Beauty,PROD-00197,Bright Skincare Adipisci,23796.59,42
Beauty,PROD-00116,Nova Wellness Atque,21016.9,43
Beauty,PROD-00118,River Skincare Maxime,20779.22,44
Beauty,PROD-00223,Summit Haircare Occaecati,17962.48,45
Beauty,PROD-00018,Zenith Haircare Eius,16149.69,46
Books,PROD-00158,Summit Comics Ab,102701.74,1
Books,PROD-00022,Mira Academic Mollitia,88071.25,2
Books,PROD-00026,Summit Technology Optio,75841.54,3
Books,PROD-00208,Summit Academic Placeat,71268.42,4
Books,PROD-00245,Zenith Technology Optio,67071.2,5
Books,PROD-00189,Apex Self-Help Nam,63246.65,6
Books,PROD-00280,Apex Fiction Dolore,63229.53,7
Books,PROD-00159,Mira Fiction Dolore,60955.22,8
Books,PROD-00195,Zenith Self-Help Nobis,56180.92,9
Books,PROD-00032,River Fiction Dolorum,56176.58,10
Books,PROD-00265,Bright Comics Itaque,55240.71,11
Books,PROD-00252,Apex Academic Dolorum,54252.22,12
Books,PROD-00169,Nexa Comics Velit,52044.66,13
Books,PROD-00010,Zenith Comics Ipsam,51988.88,14
Books,PROD-00144,Urban Comics Fugiat,51393.6,15
Books,PROD-00040,Urban Fiction Dignissimos,50056.08,16
Books,PROD-00097,Bright Fiction Necessitatibus,49995.25,17
Books,PROD-00056,Zenith Technology Nam,49634.55,18
Books,PROD-00074,Nexa Technology Optio,46142.28,19
Books,PROD-00069,Summit Fiction Autem,45713.52,20
Books,PROD-00028,Orbit Technology Repellat,44998.65,21
Books,PROD-00105,Mira Fiction Facilis,42911.62,22
Books,PROD-00217,Zenith Comics Totam,42797.6,23
Books,PROD-00294,Summit Technology Beatae,42231.34,24
Books,PROD-00036,River Comics Iure,40011.0,25
Books,PROD-00168,Bright Fiction Quis,39930.98,26
Books,PROD-00025,Nova Technology Iusto,39527.39,27
Books,PROD-00284,Urban Self-Help Temporibus,35949.21,28
Books,PROD-00163,Nova Self-Help Odit,35836.01,29
Books,PROD-00017,Urban Comics Quo,35217.12,30
Books,PROD-00055,Zenith Technology Nam,34815.08,31
Books,PROD-00132,Nexa Academic Culpa,33840.0,32
Books,PROD-00268,Summit Fiction Praesentium,33661.23,33
Books,PROD-00133,Urban Comics Dolore,30983.32,34
Books,PROD-00146,River Fiction Repellendus,27318.95,35
Books,PROD-00181,Bright Academic Quo,26270.33,36
Books,PROD-00300,River Academic Voluptatum,24043.4,37
Books,PROD-00291,Mira Academic Minima,24000.1,38
Books,PROD-00053,Bright Technology Molestiae,15764.21,39
Clothing,PROD-00170,Mira Seasonal Facere,80167.19,1
Clothing,PROD-00231,Summit Men Repellendus,75895.21,2
Clothing,PROD-00248,Orbit Women Nesciunt,72359.01,3
Clothing,PROD-00112,Nova Seasonal Soluta,70934.48,4
Clothing,PROD-00200,Nexa Footwear Illo,69284.15,5
Clothing,PROD-00287,Mira Kids Similique,67899.05,6
Clothing,PROD-00103,Zenith Footwear Recusandae,67762.35,7
Clothing,PROD-00289,Apex Women Totam,61704.52,8
Clothing,PROD-00003,Bright Men Voluptate,59528.65,9
Clothing,PROD-00110,River Seasonal Officia,59356.99,10
Clothing,PROD-00171,River Footwear Eius,58551.52,11
Clothing,PROD-00089,Bright Footwear Minus,58485.26,12
Clothing,PROD-00120,River Women Cum,58018.36,13
Clothing,PROD-00247,Nexa  Women  Modi,57839.61,14
Clothing,PROD-00297,Nexa Men Sit,50239.29,15
Clothing,PROD-00065,Mira Women Aperiam,50052.9,16
Clothing,PROD-00150,Summit Kids Beatae,48584.55,17
Clothing,PROD-00092,Apex Footwear Doloribus,48554.39,18
Clothing,PROD-00063,Summit Men Fugit,48268.56,19
Clothing,PROD-00050,Zenith Men Corporis,48008.56,20
Clothing,PROD-00277,Bright Footwear Sed,46566.17,21
Clothing,PROD-00011,River Women Magni,41092.4,22
Clothing,PROD-00137,Bright Kids Quasi,38426.87,23
Clothing,PROD-00229,Nexa Women Omnis,35169.24,24
Clothing,PROD-00095,River Men Atque,33022.62,25
Clothing,PROD-00230,River Kids Eligendi,30059.31,26
Clothing,PROD-00180,Nexa Women Ratione,29829.51,27
Clothing,PROD-00013,Mira Women Ipsam,27652.76,28
Clothing,PROD-00183,Urban Kids Architecto,27540.02,29
Clothing,PROD-00111,River Seasonal Officia,26184.9,30
Clothing,PROD-00057,Mira Women Aut,25882.35,31
Clothing,PROD-00258,Zenith Women Quas,21205.54,32
Clothing,PROD-00198,Zenith Kids Unde,19965.34,33
Clothing,PROD-00064,Apex Men Natus,18489.13,34
Clothing,PROD-00274,River Women Dolorem,13744.39,35
Electronics,PROD-00043,Urban Accessories Aperiam,94145.02,1
Electronics,PROD-00270,Urban Wearables Ab,73642.33,2
Electronics,PROD-00045,Urban Laptop Cumque,72736.14,3
Electronics,PROD-00241,River Audio Natus,68969.43,4
Electronics,PROD-00226,Mira Laptop Repellat,67999.75,5
Electronics,PROD-00079,Nexa Accessories Aspernatur,66940.82,6
Electronics,PROD-00182,River Audio Quos,59360.06,7
Electronics,PROD-00176,Mira Wearables Quos,59129.65,8
Electronics,PROD-00033,Apex Audio Sit,58598.46,9
Electronics,PROD-00135,Urban Accessories Ea,57558.24,10
Electronics,PROD-00016,Urban Accessories Quibusdam,57088.03,11
Electronics,PROD-00199,River Wearables Alias,55664.13,12
Electronics,PROD-00292,River Audio Illo,55102.94,13
Electronics,PROD-00004,Summit Accessories Vitae,53397.37,14
Electronics,PROD-00216,River Audio Eligendi,50704.0,15
Electronics,PROD-00124,Summit  Accessories  Velit,50582.56,16
Electronics,PROD-00257,Apex Wearables Dolore,49981.04,17
Electronics,PROD-00271,Orbit Audio In,49472.09,18
Electronics,PROD-00008,Zenith Wearables Eaque,49466.89,19
Electronics,PROD-00254,Summit Audio Quod,46687.94,20
Electronics,PROD-00006,Nova Mobile Quisquam,45788.88,21
Electronics,PROD-00244,Nova Wearables Exercitationem,45673.35,22
Electronics,PROD-00009,River Accessories Velit,42903.13,23
Electronics,PROD-00047,Mira Wearables Blanditiis,41438.34,24
Electronics,PROD-00212,Nova Laptop Accusamus,40887.17,25
Electronics,PROD-00190,Orbit Laptop Eaque,39705.25,26
Electronics,PROD-00178,Bright Wearables Quo,39554.88,27
Electronics,PROD-00106,River Audio Quia,39146.93,28
Electronics,PROD-00179,Apex Audio Accusantium,38098.05,29
Electronics,PROD-00080,Apex Wearables Velit,37991.53,30
Electronics,PROD-00184,Summit Accessories Amet,37438.85,31
Electronics,PROD-00122,Bright Mobile Labore,36437.24,32
Electronics,PROD-00148,Nova Mobile Rerum,34153.56,33
Electronics,PROD-00285,Summit Audio Rerum,31034.81,34
Electronics,PROD-00140,Urban Laptop Voluptas,30827.97,35
Electronics,PROD-00046,Nexa Audio Officia,29467.57,36
Electronics,PROD-00299,River Accessories Reprehenderit,26856.69,37
Electronics,PROD-00102,Orbit Wearables Alias,24538.87,38
Electronics,PROD-00172,Bright Wearables Neque,23063.85,39
Electronics,PROD-00278,River Wearables Dolorum,22940.17,40
Electronics,PROD-00219,Zenith Wearables Molestiae,19515.98,41
Electronics,PROD-00207,Zenith Laptop Minus,16550.66,42
Electronics,PROD-00239,Zenith Audio Explicabo,11202.68,43
Electronics,PROD-00038,Bright Audio Beatae,10084.71,44
Furniture,PROD-00211,Urban Office Nulla,119834.07,1
Furniture,PROD-00236,Nexa Office Voluptatem,99375.81,2
Furniture,PROD-00167,Mira Office Facere,87413.82,3
Furniture,PROD-00160,River Dining Quas,82905.05,4
Furniture,PROD-00290,Nova Office Sed,79743.69,5
Furniture,PROD-00062,Nova Storage Quas,72319.49,6
Furniture,PROD-00269,Urban Bedroom Cum,68683.38,7
Furniture,PROD-00100,Orbit Living Room Ratione,68085.55,8
Furniture,PROD-00091,Mira Living Room Eligendi,59381.09,9
Furniture,PROD-00060,Bright Dining Et,56866.83,10
Furniture,PROD-00260,Nova Storage Ad,56237.54,11
Furniture,PROD-00281,Mira Bedroom Porro,54155.92,12
Furniture,PROD-00298,Zenith Office A,51440.53,13
Furniture,PROD-00203,Apex Bedroom Itaque,51364.56,14
Furniture,PROD-00002,Orbit Office Odio,49124.79,15
Furniture,PROD-00192,Urban Living Room Modi,48733.27,16
Furniture,PROD-00155,Mira Office Perspiciatis,48426.49,17
