sales_date,daily_revenue,running_revenue
2020-01-03,7603.3,7603.3
2020-01-04,15520.07,23123.37
2020-01-05,7799.23,30922.6
2020-01-10,25867.93,56790.52
2020-01-11,11426.57,68217.1
2020-01-13,19603.5,87820.6
2020-01-14,3040.72,90861.32
2020-01-15,1298.22,92159.54
2020-01-17,20840.05,112999.59
2020-01-20,7582.27,120581.86
2020-01-25,63600.04,184181.9
2020-01-27,9369.28,193551.18
2020-01-29,31073.77,224624.95
2020-02-02,12130.73,236755.68
2020-02-06,1483.31,238238.99
2020-02-09,3775.49,242014.48
2020-02-13,4475.03,246489.51
2020-02-14,9030.44,255519.94
2020-02-19,27584.28,283104.23
2020-02-21,21953.18,305057.41
2020-02-26,40197.19,345254.6
2020-02-27,19370.77,364625.37
2020-02-29,15261.99,379887.35
2020-03-06,19778.9,399666.25
2020-03-08,50007.5,449673.75
2020-03-10,1709.7,451383.45
2020-03-14,16051.88,467435.33
2020-03-16,13090.63,480525.96
2020-03-17,18065.19,498591.15
2020-03-19,11659.64,510250.79
2020-03-20,194.32,510445.11
2020-03-23,24258.62,534703.74
2020-04-01,1517.95,536221.68
2020-04-03,24556.54,560778.23
2020-04-08,15752.93,576531.15
2020-04-09,9783.56,586314.72
2020-04-11,6366.01,592680.72
2020-04-12,6504.79,599185.51
2020-04-15,17534.93,616720.44
2020-04-22,5015.05,621735.49
2020-04-23,2208.88,623944.37
2020-04-26,21776.7,645721.06
2020-04-28,36579.96,682301.03
2020-05-10,18519.72,700820.74
2020-05-14,8770.77,709591.51
2020-05-15,16778.38,726369.9
2020-05-18,9849.04,736218.94
2020-05-20,15513.77,751732.71
2020-05-21,24600.68,776333.38
2020-05-26,26444.76,802778.15
2020-05-27,9233.92,812012.06
2020-05-28,53666.96,865679.03
2020-05-29,7979.79,873658.81
2020-05-30,14349.25,888008.06
2020-06-01,16668.06,904676.12
2020-06-02,17726.8,922402.92
2020-06-07,12836.9,935239.82
2020-06-14,5673.58,940913.4
2020-06-15,5736.62,946650.02
2020-06-16,3246.28,949896.3
2020-06-21,13527.73,963424.03
2020-06-22,10857.0,974281.03
2020-06-23,10240.14,984521.17
2020-06-24,3604.82,988125.99
2020-06-27,28829.49,1016955.48
2020-07-03,20542.33,1037497.8
2020-07-04,7489.06,1044986.86
2020-07-08,14350.3,1059337.16
2020-07-13,19922.05,1079259.22
2020-07-15,18965.23,1098224.44
2020-07-17,12589.7,1110814.14
2020-07-19,10987.16,1121801.31
2020-07-20,1970.86,1123772.17
2020-07-23,11254.69,1135026.86
2020-07-24,14939.87,1149966.74
2020-07-27,13513.43,1163480.16
2020-07-30,3728.26,1167208.42
2020-07-31,10808.52,1178016.94
2020-08-11,6599.33,1184616.27
2020-08-14,8849.92,1193466.19
2020-08-16,22420.95,1215887.14
2020-08-21,944.37,1216831.5
2020-08-22,5411.44,1222242.94
2020-08-29,4398.89,1226641.84
2020-09-03,3697.41,1230339.24
2020-09-11,14564.76,1244904.0
2020-09-12,41227.78,1286131.78
2020-09-13,31103.0,1317234.78
2020-09-25,11582.66,1328817.44
2020-09-26,12429.17,1341246.61
2020-09-27,4099.37,1345345.98
2020-10-02,16120.98,1361466.96
2020-10-08,39155.4,1400622.36
2020-10-09,9082.49,1409704.86
2020-10-10,1305.6,1411010.46
