category,sales_date,daily_revenue,running_category_revenue
Beauty,2020-01-10,5663.29,5663.29
Beauty,2020-01-11,2434.12,8097.4
Beauty,2020-01-13,1063.79,9161.19
Beauty,2020-01-17,7676.17,16837.37
Beauty,2020-01-27,2354.22,19191.59
Beauty,2020-01-29,4910.2,24101.79
Beauty,2020-02-06,803.6,24905.39
Beauty,2020-02-21,5126.43,30031.82
Beauty,2020-02-26,4169.85,34201.67
Beauty,2020-02-27,1434.85,35636.52
Beauty,2020-03-08,7965.3,43601.82
Beauty,2020-03-10,1603.98,45205.79
Beauty,2020-03-17,7869.53,53075.32
Beauty,2020-04-03,2151.87,55227.19
Beauty,2020-04-08,2810.37,58037.56
Beauty,2020-04-11,6366.01,64403.57
Beauty,2020-04-23,647.8,65051.37
Beauty,2020-04-26,7441.95,72493.32
Beauty,2020-04-28,17233.61,89726.93
Beauty,2020-05-10,6518.45,96245.39
Beauty,2020-05-20,1857.48,98102.87
Beauty,2020-05-21,10476.3,108579.17
Beauty,2020-05-28,1480.9,110060.07
Beauty,2020-06-07,1869.89,111929.97
Beauty,2020-06-14,4333.2,116263.16
Beauty,2020-06-15,5736.62,121999.78
Beauty,2020-06-16,1404.75,123404.53
Beauty,2020-06-23,2571.09,125975.63
Beauty,2020-06-27,3380.06,129355.69
Beauty,2020-07-03,11168.23,140523.92
Beauty,2020-07-08,3915.58,144439.5
Beauty,2020-07-13,13008.37,157447.87
Beauty,2020-07-17,930.66,158378.53
Beauty,2020-07-19,4220.94,162599.47
Beauty,2020-07-23,1817.85,164417.32
Beauty,2020-07-31,8647.98,173065.29
Beauty,2020-08-11,1305.32,174370.61
Beauty,2020-08-14,3742.25,178112.86
Beauty,2020-09-12,13838.51,191951.37
Beauty,2020-09-13,8420.18,200371.55
Beauty,2020-09-26,2590.9,202962.45
Beauty,2020-10-02,8128.71,211091.16
Beauty,2020-10-09,3791.25,214882.41
Beauty,2020-10-11,3209.22,218091.63
Beauty,2020-10-13,7861.51,225953.14
Beauty,2020-10-26,473.72,226426.86
Beauty,2020-11-09,1625.49,228052.35
Beauty,2020-11-13,11404.76,239457.11
Beauty,2020-11-27,1925.78,241382.89
Beauty,2020-12-02,2877.56,244260.45
Beauty,2020-12-21,2617.35,246877.8
Beauty,2020-12-30,5966.82,252844.62
Beauty,2021-01-03,7199.73,260044.35
Beauty,2021-01-10,126.99,260171.34
Beauty,2021-01-16,1739.92,261911.26
Beauty,2021-01-22,804.96,262716.22
Beauty,2021-01-28,14771.01,277487.23
Beauty,2021-02-06,2090.64,279577.86
Beauty,2021-02-10,7576.89,287154.76
Beauty,2021-02-11,4765.84,291920.6
Beauty,2021-02-19,15864.59,307785.19
Beauty,2021-02-21,15982.05,323767.24
Beauty,2021-02-25,3492.7,327259.94
Beauty,2021-02-26,6084.53,333344.47
Beauty,2021-03-05,1310.52,334654.99
Beauty,2021-03-16,1226.12,335881.12
Beauty,2021-03-21,12660.71,348541.82
Beauty,2021-03-28,9847.42,358389.24
Beauty,2021-03-31,2120.35,360509.59
Beauty,2021-04-13,2344.62,362854.21
Beauty,2021-04-14,1935.89,364790.11
Beauty,2021-05-01,405.54,365195.65
Beauty,2021-05-02,2837.11,368032.76
Beauty,2021-05-03,4255.15,372287.9
Beauty,2021-05-06,4760.32,377048.23
Beauty,2021-05-08,5047.87,382096.1
Beauty,2021-05-15,3774.08,385870.18
