sales_date,daily_revenue,moving_average_7_day
2020-01-03,7603.3,7603.3
2020-01-04,15520.07,11561.69
2020-01-05,7799.23,10307.53
2020-01-10,25867.93,14197.63
2020-01-11,11426.57,13643.42
2020-01-13,19603.5,14636.77
2020-01-14,3040.72,12980.19
2020-01-15,1298.22,12079.46
2020-01-17,20840.05,12839.46
2020-01-20,7582.27,12808.47
2020-01-25,63600.04,18198.77
2020-01-27,9369.28,17904.87
2020-01-29,31073.77,19543.48
2020-02-02,12130.73,20842.05
2020-02-06,1483.31,20868.49
2020-02-09,3775.49,18430.7
2020-02-13,4475.03,17986.81
2020-02-14,9030.44,10191.15
2020-02-19,27584.28,12793.29
2020-02-21,21953.18,11490.35
2020-02-26,40197.19,15499.85
2020-02-27,19370.77,18055.2
2020-02-29,15261.99,19696.12
2020-03-06,19778.9,21882.39
2020-03-08,50007.5,27736.26
2020-03-10,1709.7,24039.89
2020-03-14,16051.88,23196.85
2020-03-16,13090.63,19324.48
2020-03-17,18065.19,19137.97
2020-03-19,11659.64,18623.35
2020-03-20,194.32,15825.55
2020-03-23,24258.62,12147.14
2020-04-01,1517.95,12119.75
2020-04-03,24556.54,13334.7
2020-04-08,15752.93,13715.03
2020-04-09,9783.56,12531.94
2020-04-11,6366.01,11775.71
2020-04-12,6504.79,12677.2
2020-04-15,17534.93,11716.67
2020-04-22,5015.05,12216.26
2020-04-23,2208.88,9023.73
2020-04-26,21776.7,9884.27
2020-04-28,36579.96,13712.33
2020-05-10,18519.72,15448.57
2020-05-14,8770.77,15772.29
2020-05-15,16778.38,15664.21
2020-05-18,9849.04,16354.78
2020-05-20,15513.77,18255.48
2020-05-21,24600.68,18658.9
2020-05-26,26444.76,17211.02
2020-05-27,9233.92,15884.47
2020-05-28,53666.96,22298.22
2020-05-29,7979.79,21041.27
2020-05-30,14349.25,21684.16
2020-06-01,16668.06,21849.06
2020-06-02,17726.8,20867.08
2020-06-07,12836.9,18923.1
2020-06-14,5673.58,18414.48
2020-06-15,5736.62,11567.29
2020-06-16,3246.28,10891.07
2020-06-21,13527.73,10773.71
2020-06-22,10857.0,9943.56
2020-06-23,10240.14,8874.04
2020-06-24,3604.82,7555.17
2020-06-27,28829.49,10863.15
2020-07-03,20542.33,12978.25
2020-07-04,7489.06,13584.37
2020-07-08,14350.3,13701.88
2020-07-13,19922.05,14996.88
2020-07-15,18965.23,16243.32
2020-07-17,12589.7,17526.88
2020-07-19,10987.16,14977.98
2020-07-20,1970.86,12324.91
2020-07-23,11254.69,12862.86
2020-07-24,14939.87,12947.08
2020-07-27,13513.43,12031.56
2020-07-30,3728.26,9854.85
2020-07-31,10808.52,9600.4
2020-08-11,6599.33,8973.57
2020-08-14,8849.92,9956.29
2020-08-16,22420.95,11551.47
2020-08-21,944.37,9552.11
2020-08-22,5411.44,8394.68
2020-08-29,4398.89,8490.49
2020-09-03,3697.41,7474.61
2020-09-11,14564.76,8612.53
2020-09-12,41227.78,13237.94
2020-09-13,31103.0,14478.23
2020-09-25,11582.66,15997.99
2020-09-26,12429.17,17000.52
2020-09-27,4099.37,16957.73
2020-10-02,16120.98,18732.53
2020-10-08,39155.4,22245.48
2020-10-09,9082.49,17653.3
2020-10-10,1305.6,13396.53
2020-10-11,9060.49,13036.22
2020-10-13,41281.2,17157.93
2020-10-16,1708.76,16816.42
