item_id,product_id
1,PROD-99999
101,PROD-99999
201,PROD-99999
301,PROD-99999
401,PROD-99999
501,PROD-99999
601,PROD-99999
701,PROD-99999
801,PROD-99999
901,PROD-99999
1001,PROD-99999
1101,PROD-99999
1201,PROD-99999
1301,PROD-99999
1401,PROD-99999
1501,PROD-99999
1601,PROD-99999
1701,PROD-99999
1801,PROD-99999
1901,PROD-99999
2001,PROD-99999
2101,PROD-99999
2201,PROD-99999
2301,PROD-99999
2401,PROD-99999
2501,PROD-99999
2601,PROD-99999
2701,PROD-99999
2801,PROD-99999
2901,PROD-99999
3001,PROD-99999
3101,PROD-99999
3201,PROD-99999
3301,PROD-99999
3401,PROD-99999
3501,PROD-99999
3601,PROD-99999
3701,PROD-99999
3801,PROD-99999
3901,PROD-99999
