order_id,customer_id,order_value
ORD-00023,CUST-00143,57174.7
ORD-00219,CUST-00219,43575.47
ORD-01356,CUST-00124,43315.42
ORD-01260,CUST-00054,42393.82
ORD-00447,CUST-00128,41475.51
ORD-01273,CUST-00079,40474.59
ORD-00319,CUST-00390,39155.4
ORD-01383,CUST-00293,38945.91
ORD-00553,CUST-00278,38244.54
ORD-00660,CUST-00118,38131.45
ORD-00191,CUST-00227,38065.98
ORD-00850,CUST-00261,37929.22
ORD-01140,CUST-00431,37042.96
ORD-00838,CUST-00267,37010.94
ORD-00998,CUST-00139,36579.96
ORD-00216,CUST-00048,36489.71
ORD-00858,CUST-00030,36475.41
ORD-00692,CUST-00412,35353.5
ORD-00898,CUST-00120,35032.64
ORD-00989,CUST-00261,34884.27
ORD-01211,CUST-00075,34649.36
ORD-01125,CUST-00040,34605.71
ORD-00960,CUST-00227,34570.95
ORD-01460,CUST-00272,33956.69
ORD-00510,CUST-00264,33893.86
ORD-01268,CUST-00211,33692.13
ORD-00420,CUST-00323,33388.78
ORD-00120,CUST-00097,33168.24
ORD-00894,CUST-00077,33090.75
ORD-00506,CUST-00450,32181.7
ORD-00725,CUST-00499,32041.7
ORD-00435,CUST-00299,31960.17
ORD-01122,CUST-00016,31904.27
ORD-00228,CUST-00149,31726.7
ORD-00677,CUST-00044,31636.18
ORD-01338,CUST-00059,31417.67
ORD-00167,CUST-00493,31272.0
ORD-00790,CUST-00384,30522.17
ORD-00336,CUST-00105,29914.06
ORD-01320,CUST-00215,29789.54
ORD-00474,CUST-00280,29747.79
ORD-00959,CUST-00064,29703.42
ORD-01406,CUST-00434,29558.2
ORD-00054,CUST-00342,28974.5
ORD-01455,CUST-00139,28777.59
ORD-00667,CUST-00095,28744.08
ORD-00903,CUST-00363,28695.41
ORD-00415,CUST-00427,28421.22
ORD-00630,CUST-00441,28313.48
ORD-01000,CUST-00325,28274.16
ORD-00136,CUST-00217,28122.78
ORD-00937,CUST-00029,28106.7
ORD-00670,CUST-00066,28043.0
ORD-00395,CUST-00259,28042.94
ORD-00875,CUST-00058,27764.16
ORD-00439,CUST-00276,27584.28
ORD-00423,CUST-00430,27581.59
ORD-01395,CUST-00260,27393.99
ORD-00430,CUST-00126,27072.48
ORD-00817,CUST-00408,26985.28
ORD-01277,CUST-00194,26979.05
ORD-00384,CUST-00015,26933.11
ORD-00134,CUST-00408,26908.91
ORD-00627,CUST-00293,26894.43
ORD-00367,CUST-00329,26690.39
ORD-00210,CUST-00492,26688.94
ORD-00030,CUST-00280,26635.09
ORD-00791,CUST-00419,26444.76
ORD-00131,CUST-00369,26380.97
ORD-01031,CUST-00385,26242.04
ORD-00348,CUST-00111,26212.74
ORD-01418,CUST-00417,26137.41
ORD-00499,CUST-00169,25941.12
ORD-00300,CUST-00129,25867.93
ORD-01009,CUST-00126,25865.8
ORD-00717,CUST-00489,25843.39
ORD-00386,CUST-00172,25801.86
ORD-01160,CUST-00479,25784.28
ORD-00924,CUST-00353,25769.19
ORD-00059,CUST-00280,25610.9
ORD-00150,CUST-00093,25345.67
ORD-00391,CUST-00318,25174.88
ORD-00599,CUST-00414,25077.3
ORD-00207,CUST-00499,24958.75
ORD-00676,CUST-00155,24925.21
ORD-01344,CUST-00210,24776.32
ORD-00064,CUST-00166,24726.45
ORD-01408,CUST-00413,24499.41
ORD-00037,CUST-00174,24497.17
ORD-00495,CUST-00136,24385.8
ORD-00117,CUST-00012,24379.47
ORD-00471,CUST-00279,24368.66
ORD-00902,CUST-00060,24258.62
ORD-00738,CUST-00081,24230.27
ORD-00155,CUST-00449,24165.65
ORD-00834,CUST-00183,24119.81
ORD-00699,CUST-00066,24007.53
ORD-01499,CUST-00253,23775.65
ORD-00904,CUST-00425,23732.94
ORD-00126,CUST-00261,23668.91
ORD-01407,CUST-00439,23605.18
ORD-01066,CUST-00427,23594.5
ORD-01196,CUST-00069,23544.15
ORD-01200,CUST-00104,23484.05
ORD-00772,CUST-00445,23465.06
ORD-00824,CUST-00028,23416.76
ORD-01103,CUST-00427,23210.26
ORD-01263,CUST-00214,23169.36
ORD-00199,CUST-00370,23055.3
ORD-00302,CUST-00284,22861.53
ORD-00683,CUST-00237,22635.25
ORD-00446,CUST-00426,22588.9
ORD-01124,CUST-00334,22538.15
ORD-00905,CUST-00409,22524.4
ORD-00797,CUST-00179,22436.65
ORD-01496,CUST-00347,22422.18
