sales_month,revenue,month_over_month_percent
2020-01,224624.95,
2020-02,155262.4,-30.88
2020-03,154816.38,-0.29
2020-04,147597.29,-4.66
2020-05,205707.03,39.37
2020-06,128947.41,-37.32
2020-07,161061.46,24.9
2020-08,48624.9,-69.81
2020-09,118704.14,144.12
2020-10,126994.64,6.98
2020-11,128757.41,1.39
2020-12,144687.24,12.37
2021-01,133564.62,-7.69
2021-02,158135.75,18.4
2021-03,237142.06,49.96
2021-04,87976.18,-62.9
2021-05,171787.55,95.27
2021-06,180780.8,5.24
2021-07,149745.45,-17.17
2021-08,200282.89,33.75
2021-09,228519.8,14.1
2021-10,122571.66,-46.36
2021-11,77775.27,-36.55
2021-12,204084.89,162.4
2022-01,75602.04,-62.96
2022-02,80624.91,6.64
2022-03,136832.76,69.72
2022-04,113669.66,-16.93
2022-05,213250.01,87.61
2022-06,121389.08,-43.08
2022-07,182572.69,50.4
2022-08,91971.19,-49.62
2022-09,161933.12,76.07
2022-10,114957.58,-29.01
2022-11,128072.22,11.41
2022-12,248214.77,93.81
2023-01,185532.37,-25.25
2023-02,158683.22,-14.47
2023-03,227463.87,43.34
2023-04,253159.22,11.3
2023-05,94036.49,-62.85
2023-06,148842.01,58.28
2023-07,286611.24,92.56
2023-08,172569.88,-39.79
2023-09,106627.93,-38.21
2023-10,267989.14,151.33
2023-11,94867.87,-64.6
2023-12,201587.83,112.49
2024-01,124945.93,-38.02
2024-02,307024.82,145.73
2024-03,219018.09,-28.66
2024-04,143986.65,-34.26
2024-05,201080.95,39.65
2024-06,168999.19,-15.95
2024-07,118839.89,-29.68
2024-08,91951.34,-22.63
2024-09,176963.56,92.45
2024-10,210808.88,19.13
2024-11,163162.64,-22.6
2024-12,120735.43,-26.0
2025-01,74750.32,-38.09
2025-02,234365.25,213.53
2025-03,126559.68,-46.0
2025-04,264670.28,109.13
2025-05,187488.27,-29.16
2025-06,102253.63,-45.46
2025-07,218205.62,113.4
2025-08,274783.43,25.93
2025-09,122288.92,-55.5
2025-10,36245.4,-70.36
2025-11,258275.88,612.58
2025-12,240530.4,-6.87
2026-01,113190.53,-52.94
2026-02,114283.41,0.97
2026-03,156406.85,36.86
2026-04,166817.19,6.66
2026-05,112943.64,-32.29
2026-06,184829.18,63.65
2026-07,102281.75,-44.66
2026-08,1461562.83,1328.96
