order_month,orders
2020-01,21
2020-02,14
2020-03,14
2020-04,15
2020-05,15
2020-06,16
2020-07,17
2020-08,7
2020-09,11
2020-10,13
2020-11,17
2020-12,15
2021-01,16
2021-02,16
2021-03,17
2021-04,10
2021-05,16
2021-06,18
2021-07,19
2021-08,23
2021-09,21
2021-10,15
2021-11,11
2021-12,17
2022-01,13
2022-02,7
2022-03,16
2022-04,15
2022-05,16
2022-06,12
2022-07,16
2022-08,15
2022-09,8
2022-10,12
2022-11,11
2022-12,18
2023-01,19
2023-02,17
2023-03,21
2023-04,17
2023-05,13
2023-06,16
2023-07,19
2023-08,16
2023-09,13
2023-10,20
2023-11,10
2023-12,20
2024-01,14
2024-02,27
2024-03,18
2024-04,18
2024-05,16
2024-06,18
2024-07,12
2024-08,11
2024-09,16
2024-10,25
2024-11,17
2024-12,17
2025-01,12
2025-02,23
2025-03,11
2025-04,20
2025-05,17
2025-06,11
2025-07,19
2025-08,23
2025-09,12
2025-10,6
2025-11,19
2025-12,19
2026-01,16
2026-02,17
2026-03,18
2026-04,14
2026-05,10
2026-06,16
2026-07,11
2026-08,146
