sales_month,order_count,revenue
2020-01,18,224624.95
2020-02,14,155262.4
2020-03,12,154816.38
2020-04,15,147597.29
2020-05,14,205707.03
2020-06,13,128947.41
2020-07,17,161061.46
2020-08,7,48624.9
2020-09,9,118704.14
2020-10,12,126994.64
2020-11,15,128757.41
2020-12,15,144687.24
2021-01,15,133564.62
2021-02,15,158135.75
2021-03,16,237142.06
2021-04,10,87976.18
2021-05,15,171787.55
2021-06,17,180780.8
2021-07,16,149745.45
2021-08,22,200282.89
2021-09,20,228519.8
2021-10,15,122571.66
2021-11,9,77775.27
2021-12,14,204084.89
2022-01,10,75602.04
2022-02,6,80624.91
2022-03,14,136832.76
2022-04,14,113669.66
2022-05,16,213250.01
2022-06,12,121389.08
2022-07,15,182572.69
2022-08,13,91971.19
2022-09,8,161933.12
2022-10,11,114957.58
2022-11,11,128072.22
2022-12,18,248214.77
2023-01,17,185532.37
2023-02,16,158683.22
2023-03,20,227463.87
2023-04,15,253159.22
2023-05,10,94036.49
2023-06,15,148842.01
2023-07,18,286611.24
2023-08,15,172569.88
2023-09,11,106627.93
2023-10,19,267989.14
2023-11,10,94867.87
2023-12,18,201587.83
2024-01,13,124945.93
2024-02,25,307024.82
2024-03,16,219018.09
2024-04,17,143986.65
2024-05,15,201080.95
2024-06,15,168999.19
2024-07,12,118839.89
2024-08,10,91951.34
2024-09,15,176963.56
2024-10,24,210808.88
2024-11,16,163162.64
2024-12,16,120735.43
2025-01,12,74750.32
2025-02,22,234365.25
2025-03,11,126559.68
2025-04,19,264670.28
2025-05,16,187488.27
2025-06,10,102253.63
2025-07,17,218205.62
2025-08,23,274783.43
2025-09,12,122288.92
2025-10,6,36245.4
2025-11,19,258275.88
2025-12,19,240530.4
2026-01,15,113190.53
2026-02,16,114283.41
2026-03,17,156406.85
2026-04,11,166817.19
2026-05,9,112943.64
2026-06,16,184829.18
2026-07,11,102281.75
2026-08,132,1461562.83
