product_id,product_name,brand,units_sold,revenue
PROD-00211,Urban Office Nulla,Urban,94,119834.07
PROD-00158,Summit Comics Ab,Summit,81,102701.74
PROD-00236,Nexa Office Voluptatem,Nexa,95,99375.81
PROD-00043,Urban Accessories Aperiam,Urban,69,94145.02
PROD-00022,Mira Academic Mollitia,Mira,76,88071.25
PROD-00167,Mira Office Facere,Mira,77,87413.82
PROD-00160,River Dining Quas,River,77,82905.05
PROD-00130,Urban Educational Harum,Urban,62,81701.88
PROD-00288,Urban  Makeup  Nisi,Urban,86,80736.43
PROD-00170,Mira Seasonal Facere,Mira,68,80167.19
PROD-00290,Nova Office Sed,Nova,81,79743.69
PROD-00027,Apex Wellness Minima,Apex,68,77572.57
PROD-00293,Apex Accessories Libero,Apex,89,76974.47
PROD-00067,Nova Plush Molestiae,Nova,70,76541.82
PROD-00234,Bright Haircare Amet,Bright,64,75952.76
PROD-00231,Summit Men Repellendus,Summit,69,75895.21
PROD-00026,Summit Technology Optio,Summit,62,75841.54
PROD-00024,Summit Bedding Vel,Summit,73,74823.06
PROD-00138,Mira Stem Ipsa,Mira,66,74077.69
PROD-00270,Urban Wearables Ab,Urban,75,73642.33
PROD-00090,Orbit Plush Natus,Orbit,52,73238.43
PROD-00045,Urban Laptop Cumque,Urban,73,72736.14
PROD-00248,Orbit Women Nesciunt,Orbit,89,72359.01
PROD-00062,Nova Storage Quas,Nova,83,72319.49
PROD-00213,Summit Outdoor Similique,Summit,69,71916.87
PROD-00208,Summit Academic Placeat,Summit,64,71268.42
PROD-00112,Nova Seasonal Soluta,Nova,64,70934.48
PROD-00142,Mira Fitness Cumque,Mira,70,70739.28
PROD-00072,Apex Educational Ad,Apex,79,69511.24
PROD-00200,Nexa Footwear Illo,Nexa,71,69284.15
PROD-00259,Apex Wellness Minima,Apex,71,69067.99
PROD-00241,River Audio Natus,River,66,68969.43
PROD-00269,Urban Bedroom Cum,Urban,68,68683.38
PROD-00071,Summit Wellness Dolorem,Summit,49,68209.3
PROD-00201,River Storage Porro,River,69,68178.07
PROD-00221,River Stem Aliquam,River,50,68174.2
PROD-00100,Orbit Living Room Ratione,Orbit,73,68085.55
PROD-00226,Mira Laptop Repellat,Mira,78,67999.75
PROD-00287,Mira Kids Similique,Mira,61,67899.05
PROD-00103,Zenith Footwear Recusandae,Zenith,58,67762.35
PROD-00238,Mira Indoor Nihil,Mira,49,67721.04
PROD-00145,River Haircare Tenetur,River,61,67237.05
PROD-00245,Zenith Technology Optio,Zenith,54,67071.2
PROD-00079,Nexa Accessories Aspernatur,Nexa,66,66940.82
PROD-00073,Nova Decor Tenetur,Nova,59,66461.22
PROD-00194,Nexa Stem Fuga,Nexa,71,65473.23
PROD-00030,River Makeup Voluptatem,River,55,64997.65
PROD-00261,Bright Fitness Fuga,Bright,70,64727.76
PROD-00114,River Outdoor Fugit,River,70,64337.5
PROD-00121,Mira Skincare Doloribus,Mira,47,64079.32
PROD-00256,Orbit Wellness Veniam,Orbit,70,64074.15
PROD-00225,Nexa Kitchen Illum,Nexa,47,64028.14
PROD-00001,Orbit  Outdoor  Minima,Orbit,67,63982.35
PROD-00177,Zenith Fragrance Cum,Zenith,61,63763.19
PROD-00048,Nova Plush Dolorem,Nova,62,63549.02
PROD-00189,Apex Self-Help Nam,Apex,65,63246.65
PROD-00280,Apex Fiction Dolore,Apex,66,63229.53
PROD-00081,Nexa Fitness Deleniti,Nexa,59,63226.34
PROD-00289,Apex Women Totam,Apex,43,61704.52
PROD-00166,Nova  Accessories  Beatae,Nova,60,61497.01
PROD-00296,Summit Decor Ad,Summit,61,61009.37
PROD-00159,Mira Fiction Dolore,Mira,58,60955.22
PROD-00041,River Fitness Voluptates,River,73,60082.97
PROD-00250,Nexa Plush Ipsum,Nexa,50,59763.08
PROD-00003,Bright Men Voluptate,Bright,54,59528.65
PROD-00091,Mira Living Room Eligendi,Mira,43,59381.09
PROD-00182,River Audio Quos,River,56,59360.06
PROD-00110,River Seasonal Officia,River,55,59356.99
PROD-00176,Mira Wearables Quos,Mira,61,59129.65
PROD-00033,Apex Audio Sit,Apex,64,58598.46
PROD-00171,River Footwear Eius,River,60,58551.52
PROD-00089,Bright Footwear Minus,Bright,63,58485.26
PROD-00019,Nova Skincare Alias,Nova,59,58082.32
PROD-00120,River Women Cum,River,43,58018.36
PROD-00247,Nexa  Women  Modi,Nexa,73,57839.61
PROD-00099,Summit Haircare Ullam,Summit,53,57634.39
PROD-00135,Urban Accessories Ea,Urban,47,57558.24
PROD-00016,Urban Accessories Quibusdam,Urban,39,57088.03
PROD-00094,Mira Storage Ea,Mira,47,56913.43
PROD-00060,Bright Dining Et,Bright,64,56866.83
PROD-00044,River Lighting Velit,River,54,56689.75
PROD-00260,Nova Storage Ad,Nova,49,56237.54
PROD-00195,Zenith Self-Help Nobis,Zenith,59,56180.92
PROD-00032,River Fiction Dolorum,River,56,56176.58
PROD-00206,Apex  Fitness  Facilis,Apex,66,55954.51
PROD-00199,River Wearables Alias,River,48,55664.13
PROD-00083,Urban  Makeup  Atque,Urban,58,55380.22
PROD-00104,Nova Wellness Non,Nova,53,55331.78
PROD-00014,Orbit Plush Debitis,Orbit,53,55324.15
PROD-00131,Summit Bedding Ab,Summit,60,55247.56
PROD-00265,Bright Comics Itaque,Bright,57,55240.71
PROD-00292,River Audio Illo,River,49,55102.94
PROD-00141,Apex Decor Possimus,Apex,52,54996.47
PROD-00252,Apex Academic Dolorum,Apex,52,54252.22
PROD-00281,Mira Bedroom Porro,Mira,57,54155.92
PROD-00058,Zenith Indoor Quae,Zenith,53,54009.65
PROD-00004,Summit Accessories Vitae,Summit,60,53397.37
PROD-00286,Apex Educational Occaecati,Apex,60,53374.12
PROD-00161,River Kitchen Quibusdam,River,58,53309.15
PROD-00185,Orbit Educational Alias,Orbit,55,53268.0
PROD-00082,River Skincare Distinctio,River,53,52829.54
PROD-00149,Bright Plush Omnis,Bright,41,52792.28
PROD-00282,Orbit Outdoor Minima,Orbit,54,52393.75
PROD-00034,River Accessories Quas,River,42,52298.58
PROD-00087,Orbit Plush In,Orbit,44,52196.99
PROD-00169,Nexa Comics Velit,Nexa,51,52044.66
PROD-00010,Zenith Comics Ipsam,Zenith,40,51988.88
PROD-00298,Zenith Office A,Zenith,56,51440.53
PROD-00144,Urban Comics Fugiat,Urban,57,51393.6
PROD-00203,Apex Bedroom Itaque,Apex,62,51364.56
PROD-00264,River Lighting Cum,River,42,51054.1
PROD-00117,Zenith Wellness Ut,Zenith,49,51005.53
PROD-00015,River Fragrance Temporibus,River,52,50980.12
PROD-00191,Nexa Indoor Officiis,Nexa,52,50887.75
PROD-00216,River Audio Eligendi,River,39,50704.0
PROD-00124,Summit  Accessories  Velit,Summit,43,50582.56
PROD-00088,Zenith Wellness Voluptatum,Zenith,60,50545.74
PROD-00297,Nexa Men Sit,Nexa,63,50239.29
PROD-00040,Urban Fiction Dignissimos,Urban,50,50056.08
PROD-00065,Mira Women Aperiam,Mira,57,50052.9
PROD-00097,Bright Fiction Necessitatibus,Bright,55,49995.25
PROD-00257,Apex Wearables Dolore,Apex,54,49981.04
PROD-00021,River Kitchen Architecto,River,47,49872.89
PROD-00109,Nexa Indoor Accusantium,Nexa,55,49692.14
PROD-00056,Zenith Technology Nam,Zenith,48,49634.55
PROD-00271,Orbit Audio In,Orbit,50,49472.09
PROD-00008,Zenith Wearables Eaque,Zenith,44,49466.89
PROD-00005,Orbit Wellness Fuga,Orbit,40,49425.21
PROD-00240,Zenith Wellness Perspiciatis,Zenith,42,49129.88
PROD-00002,Orbit Office Odio,Orbit,58,49124.79
PROD-00134,Summit Haircare Ut,Summit,57,49053.11
PROD-00123,River Bedding Natus,River,50,48984.75
PROD-00012,Orbit Lighting Voluptate,Orbit,41,48760.85
PROD-00192,Urban Living Room Modi,Urban,56,48733.27
PROD-00150,Summit Kids Beatae,Summit,49,48584.55
