product_id,product_name,category,subcategory,brand,units_sold,revenue
PROD-00001,Orbit  Outdoor  Minima,Toys,Outdoor,Orbit,67,63982.35
PROD-00002,Orbit Office Odio,Furniture,Office,Orbit,58,49124.79
PROD-00003,Bright Men Voluptate,Clothing,Men,Bright,54,59528.65
PROD-00004,Summit Accessories Vitae,Electronics,Accessories,Summit,60,53397.37
PROD-00005,Orbit Wellness Fuga,Beauty,Wellness,Orbit,40,49425.21
PROD-00006,Nova Mobile Quisquam,Electronics,Mobile,Nova,47,45788.88
PROD-00007,Bright Educational Deserunt,Toys,Educational,Bright,55,47231.76
PROD-00008,Zenith Wearables Eaque,Electronics,Wearables,Zenith,44,49466.89
PROD-00009,River Accessories Velit,Electronics,Accessories,River,37,42903.13
PROD-00010,Zenith Comics Ipsam,Books,Comics,Zenith,40,51988.88
PROD-00011,River Women Magni,Clothing,Women,River,53,41092.4
PROD-00012,Orbit Lighting Voluptate,Home,Lighting,Orbit,41,48760.85
PROD-00013,Mira Women Ipsam,Clothing,Women,Mira,23,27652.76
PROD-00014,Orbit Plush Debitis,Toys,Plush,Orbit,53,55324.15
PROD-00015,River Fragrance Temporibus,Beauty,Fragrance,River,52,50980.12
PROD-00016,Urban Accessories Quibusdam,Electronics,Accessories,Urban,39,57088.03
PROD-00017,Urban Comics Quo,Books,Comics,Urban,37,35217.12
PROD-00018,Zenith Haircare Eius,Beauty,Haircare,Zenith,21,16149.69
PROD-00019,Nova Skincare Alias,Beauty,Skincare,Nova,59,58082.32
PROD-00020,Apex Plush Perspiciatis,Toys,Plush,Apex,39,43885.88
PROD-00021,River Kitchen Architecto,Home,Kitchen,River,47,49872.89
PROD-00022,Mira Academic Mollitia,Books,Academic,Mira,76,88071.25
PROD-00023,Urban Outdoor Officia,Sports,Outdoor,Urban,35,24372.39
PROD-00024,Summit Bedding Vel,Home,Bedding,Summit,73,74823.06
PROD-00025,Nova Technology Iusto,Books,Technology,Nova,41,39527.39
PROD-00026,Summit Technology Optio,Books,Technology,Summit,62,75841.54
PROD-00027,Apex Wellness Minima,Beauty,Wellness,Apex,68,77572.57
PROD-00028,Orbit Technology Repellat,Books,Technology,Orbit,47,44998.65
PROD-00029,Apex Plush Possimus,Toys,Plush,Apex,33,25777.73
PROD-00030,River Makeup Voluptatem,Beauty,Makeup,River,55,64997.65
PROD-00031,Nova Bedding Suscipit,Home,Bedding,Nova,39,46230.63
PROD-00032,River Fiction Dolorum,Books,Fiction,River,56,56176.58
PROD-00033,Apex Audio Sit,Electronics,Audio,Apex,64,58598.46
PROD-00034,River Accessories Quas,Sports,Accessories,River,42,52298.58
PROD-00035,Nexa Fragrance Dolores,Beauty,Fragrance,Nexa,43,34460.71
PROD-00036,River Comics Iure,Books,Comics,River,40,40011.0
PROD-00037,River Storage Iure,Furniture,Storage,River,31,28275.63
PROD-00038,Bright Audio Beatae,Electronics,Audio,Bright,12,10084.71
PROD-00039,Apex Living Room A,Furniture,Living Room,Apex,31,33779.12
PROD-00040,Urban Fiction Dignissimos,Books,Fiction,Urban,50,50056.08
PROD-00041,River Fitness Voluptates,Sports,Fitness,River,73,60082.97
PROD-00042,Apex  Outdoor  Temporibus,Sports,Outdoor,Apex,53,45895.71
PROD-00043,Urban Accessories Aperiam,Electronics,Accessories,Urban,69,94145.02
PROD-00044,River Lighting Velit,Home,Lighting,River,54,56689.75
PROD-00045,Urban Laptop Cumque,Electronics,Laptop,Urban,73,72736.14
PROD-00046,Nexa Audio Officia,Electronics,Audio,Nexa,31,29467.57
PROD-00047,Mira Wearables Blanditiis,Electronics,Wearables,Mira,55,41438.34
PROD-00048,Nova Plush Dolorem,Toys,Plush,Nova,62,63549.02
PROD-00049,Summit Activity Cupiditate,Toys,Activity,Summit,47,43117.74
PROD-00050,Zenith Men Corporis,Clothing,Men,Zenith,59,48008.56
PROD-00051,River Skincare Officiis,Beauty,Skincare,River,27,27918.2
PROD-00052,Mira Fragrance Doloribus,Beauty,Fragrance,Mira,33,32754.89
PROD-00053,Bright Technology Molestiae,Books,Technology,Bright,24,15764.21
PROD-00054,Orbit Outdoor Odit,Toys,Outdoor,Orbit,29,37174.57
PROD-00055,Zenith Technology Nam,Books,Technology,Zenith,44,34815.08
PROD-00056,Zenith Technology Nam,Books,Technology,Zenith,48,49634.55
PROD-00057,Mira Women Aut,Clothing,Women,Mira,26,25882.35
PROD-00058,Zenith Indoor Quae,Sports,Indoor,Zenith,53,54009.65
PROD-00059,Orbit Outdoor Consequuntur,Sports,Outdoor,Orbit,21,21383.07
PROD-00060,Bright Dining Et,Furniture,Dining,Bright,64,56866.83
PROD-00061,Mira Accessories Rem,Sports,Accessories,Mira,48,43230.73
PROD-00062,Nova Storage Quas,Furniture,Storage,Nova,83,72319.49
PROD-00063,Summit Men Fugit,Clothing,Men,Summit,40,48268.56
PROD-00064,Apex Men Natus,Clothing,Men,Apex,30,18489.13
PROD-00065,Mira Women Aperiam,Clothing,Women,Mira,57,50052.9
PROD-00066,Nova Haircare Blanditiis,Beauty,Haircare,Nova,52,42531.18
PROD-00067,Nova Plush Molestiae,Toys,Plush,Nova,70,76541.82
PROD-00068,Orbit Bedroom Ipsam,Furniture,Bedroom,Orbit,21,22869.94
PROD-00069,Summit Fiction Autem,Books,Fiction,Summit,67,45713.52
PROD-00070,Bright Living Room Odit,Furniture,Living Room,Bright,35,35629.7
PROD-00071,Summit Wellness Dolorem,Beauty,Wellness,Summit,49,68209.3
PROD-00072,Apex Educational Ad,Toys,Educational,Apex,79,69511.24
PROD-00073,Nova Decor Tenetur,Home,Decor,Nova,59,66461.22
PROD-00074,Nexa Technology Optio,Books,Technology,Nexa,54,46142.28
PROD-00075,Bright Living Room Sequi,Furniture,Living Room,Bright,21,21431.76
PROD-00076,River Makeup Earum,Beauty,Makeup,River,44,46138.43
PROD-00077,Zenith Indoor Delectus,Sports,Indoor,Zenith,50,40383.74
PROD-00078,Zenith Lighting Excepturi,Home,Lighting,Zenith,47,45372.76
PROD-00079,Nexa Accessories Aspernatur,Electronics,Accessories,Nexa,66,66940.82
PROD-00080,Apex Wearables Velit,Electronics,Wearables,Apex,38,37991.53
PROD-00081,Nexa Fitness Deleniti,Sports,Fitness,Nexa,59,63226.34
PROD-00082,River Skincare Distinctio,Beauty,Skincare,River,53,52829.54
PROD-00083,Urban  Makeup  Atque,Beauty,Makeup,Urban,58,55380.22
PROD-00084,Zenith Storage Blanditiis,Furniture,Storage,Zenith,52,47773.84
PROD-00085,Apex Kitchen Odit,Home,Kitchen,Apex,38,46694.94
PROD-00086,Summit Plush Deleniti,Toys,Plush,Summit,49,35620.84
PROD-00087,Orbit Plush In,Toys,Plush,Orbit,44,52196.99
PROD-00088,Zenith Wellness Voluptatum,Beauty,Wellness,Zenith,60,50545.74
PROD-00089,Bright Footwear Minus,Clothing,Footwear,Bright,63,58485.26
PROD-00090,Orbit Plush Natus,Toys,Plush,Orbit,52,73238.43
PROD-00091,Mira Living Room Eligendi,Furniture,Living Room,Mira,43,59381.09
PROD-00092,Apex Footwear Doloribus,Clothing,Footwear,Apex,56,48554.39
PROD-00093,Zenith Fitness Dignissimos,Sports,Fitness,Zenith,54,46702.53
PROD-00094,Mira Storage Ea,Home,Storage,Mira,47,56913.43
PROD-00095,River Men Atque,Clothing,Men,River,38,33022.62
PROD-00096,Nova Office Suscipit,Furniture,Office,Nova,43,48153.24
PROD-00097,Bright Fiction Necessitatibus,Books,Fiction,Bright,55,49995.25
PROD-00098,Mira Plush Amet,Toys,Plush,Mira,44,27393.19
PROD-00099,Summit Haircare Ullam,Beauty,Haircare,Summit,53,57634.39
PROD-00100,Orbit Living Room Ratione,Furniture,Living Room,Orbit,73,68085.55
PROD-00101,Urban Bedroom Minus,Furniture,Bedroom,Urban,41,38173.87
PROD-00102,Orbit Wearables Alias,Electronics,Wearables,Orbit,40,24538.87
PROD-00103,Zenith Footwear Recusandae,Clothing,Footwear,Zenith,58,67762.35
PROD-00104,Nova Wellness Non,Beauty,Wellness,Nova,53,55331.78
PROD-00105,Mira Fiction Facilis,Books,Fiction,Mira,40,42911.62
PROD-00106,River Audio Quia,Electronics,Audio,River,44,39146.93
PROD-00107,River Fragrance Quam,Beauty,Fragrance,River,56,46254.22
PROD-00108,Urban Skincare Sint,Beauty,Skincare,Urban,32,32724.35
PROD-00109,Nexa Indoor Accusantium,Sports,Indoor,Nexa,55,49692.14
PROD-00110,River Seasonal Officia,Clothing,Seasonal,River,55,59356.99
PROD-00111,River Seasonal Officia,Clothing,Seasonal,River,37,26184.9
PROD-00112,Nova Seasonal Soluta,Clothing,Seasonal,Nova,64,70934.48
PROD-00113,Apex Cycling Laboriosam,Sports,Cycling,Apex,51,44541.03
PROD-00114,River Outdoor Fugit,Toys,Outdoor,River,70,64337.5
PROD-00115,River Plush Accusamus,Toys,Plush,River,35,25201.84
PROD-00116,Nova Wellness Atque,Beauty,Wellness,Nova,34,21016.9
PROD-00117,Zenith Wellness Ut,Beauty,Wellness,Zenith,49,51005.53
PROD-00118,River Skincare Maxime,Beauty,Skincare,River,30,20779.22
PROD-00119,Nexa Makeup Quod,Beauty,Makeup,Nexa,56,39612.06
PROD-00120,River Women Cum,Clothing,Women,River,43,58018.36
PROD-00121,Mira Skincare Doloribus,Beauty,Skincare,Mira,47,64079.32
PROD-00122,Bright Mobile Labore,Electronics,Mobile,Bright,45,36437.24
PROD-00123,River Bedding Natus,Home,Bedding,River,50,48984.75
PROD-00124,Summit  Accessories  Velit,Electronics,Accessories,Summit,43,50582.56
PROD-00125,Orbit Fragrance Culpa,Beauty,Fragrance,Orbit,31,38143.97
PROD-00126,Orbit Cycling Doloribus,Sports,Cycling,Orbit,50,46317.27
PROD-00127,Mira Makeup Quis,Beauty,Makeup,Mira,35,26928.22
PROD-00128,Nova Bedding Excepturi,Home,Bedding,Nova,32,31375.66
PROD-00129,Bright Fragrance Et,Beauty,Fragrance,Bright,53,46310.21
PROD-00130,Urban Educational Harum,Toys,Educational,Urban,62,81701.88
PROD-00131,Summit Bedding Ab,Home,Bedding,Summit,60,55247.56
PROD-00132,Nexa Academic Culpa,Books,Academic,Nexa,29,33840.0
PROD-00133,Urban Comics Dolore,Books,Comics,Urban,38,30983.32
PROD-00134,Summit Haircare Ut,Beauty,Haircare,Summit,57,49053.11
PROD-00135,Urban Accessories Ea,Electronics,Accessories,Urban,47,57558.24
PROD-00136,Zenith Wellness Consequuntur,Beauty,Wellness,Zenith,41,38106.84
PROD-00137,Bright Kids Quasi,Clothing,Kids,Bright,36,38426.87
PROD-00138,Mira Stem Ipsa,Toys,Stem,Mira,66,74077.69
PROD-00139,Orbit Living Room Harum,Furniture,Living Room,Orbit,32,35058.51
PROD-00140,Urban Laptop Voluptas,Electronics,Laptop,Urban,40,30827.97
PROD-00141,Apex Decor Possimus,Home,Decor,Apex,52,54996.47
PROD-00142,Mira Fitness Cumque,Sports,Fitness,Mira,70,70739.28
PROD-00143,Mira Stem Totam,Toys,Stem,Mira,52,47102.48
PROD-00144,Urban Comics Fugiat,Books,Comics,Urban,57,51393.6
PROD-00145,River Haircare Tenetur,Beauty,Haircare,River,61,67237.05
PROD-00146,River Fiction Repellendus,Books,Fiction,River,35,27318.95
PROD-00147,Apex Indoor At,Sports,Indoor,Apex,24,17253.68
PROD-00148,Nova Mobile Rerum,Electronics,Mobile,Nova,44,34153.56
PROD-00149,Bright Plush Omnis,Toys,Plush,Bright,41,52792.28
PROD-00150,Summit Kids Beatae,Clothing,Kids,Summit,49,48584.55
PROD-00151,Summit Stem Recusandae,Toys,Stem,Summit,50,44697.57
PROD-00152,Bright Storage Sapiente,Furniture,Storage,Bright,45,46482.96
PROD-00153,Apex Living Room Dicta,Furniture,Living Room,Apex,46,43544.35
PROD-00154,Nexa Fragrance Similique,Beauty,Fragrance,Nexa,49,41595.23
PROD-00155,Mira Office Perspiciatis,Furniture,Office,Mira,46,48426.49
PROD-00156,Zenith Storage Cum,Furniture,Storage,Zenith,41,39576.15
PROD-00157,Urban Indoor Qui,Sports,Indoor,Urban,31,18768.33
PROD-00158,Summit Comics Ab,Books,Comics,Summit,81,102701.74
PROD-00159,Mira Fiction Dolore,Books,Fiction,Mira,58,60955.22
PROD-00160,River Dining Quas,Furniture,Dining,River,77,82905.05
PROD-00161,River Kitchen Quibusdam,Home,Kitchen,River,58,53309.15
PROD-00162,Mira Storage Maxime,Furniture,Storage,Mira,55,46643.52
PROD-00163,Nova Self-Help Odit,Books,Self-Help,Nova,36,35836.01
PROD-00164,River Outdoor Est,Sports,Outdoor,River,45,45947.78
PROD-00165,Nova  Accessories  Beatae,Sports,Accessories,Nova,51,41966.41
PROD-00166,Nova  Accessories  Beatae,Sports,Accessories,Nova,60,61497.01
PROD-00167,Mira Office Facere,Furniture,Office,Mira,77,87413.82
PROD-00168,Bright Fiction Quis,Books,Fiction,Bright,57,39930.98
PROD-00169,Nexa Comics Velit,Books,Comics,Nexa,51,52044.66
PROD-00170,Mira Seasonal Facere,Clothing,Seasonal,Mira,68,80167.19
PROD-00171,River Footwear Eius,Clothing,Footwear,River,60,58551.52
PROD-00172,Bright Wearables Neque,Electronics,Wearables,Bright,38,23063.85
PROD-00173,Zenith Accessories Quidem,Sports,Accessories,Zenith,41,24896.38
PROD-00174,Nova Kitchen Sunt,Home,Kitchen,Nova,56,39449.87
PROD-00175,Orbit Accessories Necessitatibus,Sports,Accessories,Orbit,22,31914.74
PROD-00176,Mira Wearables Quos,Electronics,Wearables,Mira,61,59129.65
PROD-00177,Zenith Fragrance Cum,Beauty,Fragrance,Zenith,61,63763.19
PROD-00178,Bright Wearables Quo,Electronics,Wearables,Bright,30,39554.88
PROD-00179,Apex Audio Accusantium,Electronics,Audio,Apex,53,38098.05
PROD-00180,Nexa Women Ratione,Clothing,Women,Nexa,34,29829.51
PROD-00181,Bright Academic Quo,Books,Academic,Bright,37,26270.33
PROD-00182,River Audio Quos,Electronics,Audio,River,56,59360.06
PROD-00183,Urban Kids Architecto,Clothing,Kids,Urban,29,27540.02
PROD-00184,Summit Accessories Amet,Electronics,Accessories,Summit,36,37438.85
PROD-00185,Orbit Educational Alias,Toys,Educational,Orbit,55,53268.0
PROD-00186,Orbit Indoor Cum,Sports,Indoor,Orbit,26,30248.2
PROD-00187,Nexa Stem Quisquam,Toys,Stem,Nexa,43,47216.8
PROD-00188,Nova Wellness Nihil,Beauty,Wellness,Nova,27,27055.52
PROD-00189,Apex Self-Help Nam,Books,Self-Help,Apex,65,63246.65
PROD-00190,Orbit Laptop Eaque,Electronics,Laptop,Orbit,39,39705.25
PROD-00191,Nexa Indoor Officiis,Sports,Indoor,Nexa,52,50887.75
PROD-00192,Urban Living Room Modi,Furniture,Living Room,Urban,56,48733.27
PROD-00193,Nova Storage Voluptate,Home,Storage,Nova,28,29853.98
PROD-00194,Nexa Stem Fuga,Toys,Stem,Nexa,71,65473.23
PROD-00195,Zenith Self-Help Nobis,Books,Self-Help,Zenith,59,56180.92
PROD-00196,Urban Indoor Ratione,Sports,Indoor,Urban,50,40723.29
PROD-00197,Bright Skincare Adipisci,Beauty,Skincare,Bright,39,23796.59
PROD-00198,Zenith Kids Unde,Clothing,Kids,Zenith,32,19965.34
PROD-00199,River Wearables Alias,Electronics,Wearables,River,48,55664.13
PROD-00200,Nexa Footwear Illo,Clothing,Footwear,Nexa,71,69284.15
PROD-00201,River Storage Porro,Home,Storage,River,69,68178.07
PROD-00202,Mira Bedroom Porro,Furniture,Bedroom,Mira,61,40177.04
PROD-00203,Apex Bedroom Itaque,Furniture,Bedroom,Apex,62,51364.56
PROD-00204,Bright Cycling Laudantium,Sports,Cycling,Bright,34,37821.57
PROD-00205,Nova Fragrance Magnam,Beauty,Fragrance,Nova,24,27648.58
PROD-00206,Apex  Fitness  Facilis,Sports,Fitness,Apex,66,55954.51
PROD-00207,Zenith Laptop Minus,Electronics,Laptop,Zenith,23,16550.66
PROD-00208,Summit Academic Placeat,Books,Academic,Summit,64,71268.42
PROD-00209,Mira Fragrance Deleniti,Beauty,Fragrance,Mira,34,33630.81
