product_id,product_name,return_rate_percent
PROD-00223,Summit Haircare Occaecati,73.33
PROD-00262,Orbit Activity Beatae,71.43
PROD-00038,Bright Audio Beatae,58.33
PROD-00020,Apex Plush Perspiciatis,56.41
PROD-00052,Mira Fragrance Doloribus,54.55
PROD-00289,Apex Women Totam,53.49
PROD-00238,Mira Indoor Nihil,53.06
PROD-00180,Nexa Women Ratione,52.94
PROD-00059,Orbit Outdoor Consequuntur,52.38
PROD-00044,River Lighting Velit,51.85
PROD-00183,Urban Kids Architecto,51.72
PROD-00099,Summit Haircare Ullam,50.94
PROD-00095,River Men Atque,50.0
PROD-00108,Urban Skincare Sint,50.0
PROD-00175,Orbit Accessories Necessitatibus,50.0
PROD-00283,Summit Bedding Sapiente,50.0
PROD-00257,Apex Wearables Dolore,48.15
PROD-00010,Zenith Comics Ipsam,47.5
PROD-00172,Bright Wearables Neque,47.37
PROD-00220,River Stem Aliquam,45.95
PROD-00107,River Fragrance Quam,44.64
PROD-00058,Zenith Indoor Quae,43.4
PROD-00118,River Skincare Maxime,43.33
PROD-00008,Zenith Wearables Eaque,43.18
PROD-00070,Bright Living Room Odit,42.86
PROD-00150,Summit Kids Beatae,42.86
PROD-00016,Urban Accessories Quibusdam,41.03
PROD-00266,Nexa Stem Dolores,40.43
PROD-00029,Apex Plush Possimus,39.39
PROD-00242,Nova Bedding Iusto,39.22
PROD-00076,River Makeup Earum,38.64
PROD-00186,Orbit Indoor Cum,38.46
PROD-00097,Bright Fiction Necessitatibus,38.18
PROD-00251,Urban Decor Vel,38.1
PROD-00165,Nova  Accessories  Beatae,37.25
PROD-00277,Bright Footwear Sed,37.21
PROD-00100,Orbit Living Room Ratione,36.99
PROD-00292,River Audio Illo,36.73
PROD-00270,Urban Wearables Ab,36.0
PROD-00267,Apex Storage Esse,35.85
PROD-00240,Zenith Wellness Perspiciatis,35.71
PROD-00298,Zenith Office A,35.71
PROD-00019,Nova Skincare Alias,35.59
PROD-00152,Bright Storage Sapiente,35.56
PROD-00093,Zenith Fitness Dignissimos,35.19
PROD-00265,Bright Comics Itaque,35.09
PROD-00207,Zenith Laptop Minus,34.78
PROD-00085,Apex Kitchen Odit,34.21
PROD-00050,Zenith Men Corporis,33.9
PROD-00259,Apex Wellness Minima,33.8
PROD-00068,Orbit Bedroom Ipsam,33.33
PROD-00131,Summit Bedding Ab,33.33
PROD-00147,Apex Indoor At,33.33
PROD-00163,Nova Self-Help Odit,33.33
PROD-00009,River Accessories Velit,32.43
PROD-00048,Nova Plush Dolorem,32.26
PROD-00032,River Fiction Dolorum,32.14
PROD-00193,Nova Storage Voluptate,32.14
PROD-00179,Apex Audio Accusantium,32.08
PROD-00028,Orbit Technology Repellat,31.91
PROD-00213,Summit Outdoor Similique,31.88
PROD-00079,Nexa Accessories Aspernatur,31.82
PROD-00133,Urban Comics Dolore,31.58
PROD-00127,Mira Makeup Quis,31.43
PROD-00217,Zenith Comics Totam,31.25
PROD-00132,Nexa Academic Culpa,31.03
PROD-00226,Mira Laptop Repellat,30.77
PROD-00243,River Decor Sequi,30.77
PROD-00119,Nexa Makeup Quod,30.36
PROD-00035,Nexa Fragrance Dolores,30.23
PROD-00247,Nexa  Women  Modi,30.14
PROD-00227,Nova Stem Libero,30.0
PROD-00051,River Skincare Officiis,29.63
PROD-00269,Urban Bedroom Cum,29.41
PROD-00294,Summit Technology Beatae,29.41
PROD-00053,Bright Technology Molestiae,29.17
PROD-00299,River Accessories Reprehenderit,29.17
PROD-00122,Bright Mobile Labore,28.89
PROD-00041,River Fitness Voluptates,28.77
PROD-00142,Mira Fitness Cumque,28.57
PROD-00088,Zenith Wellness Voluptatum,28.33
PROD-00197,Bright Skincare Adipisci,28.21
PROD-00065,Mira Women Aperiam,28.07
PROD-00123,River Bedding Natus,28.0
PROD-00221,River Stem Aliquam,28.0
PROD-00124,Summit  Accessories  Velit,27.91
PROD-00263,Bright Outdoor Voluptatem,27.78
PROD-00239,Zenith Audio Explicabo,27.27
PROD-00181,Bright Academic Quo,27.03
PROD-00209,Mira Fragrance Deleniti,26.47
PROD-00129,Bright Fragrance Et,26.42
PROD-00231,Summit Men Repellendus,26.09
PROD-00120,River Women Cum,25.58
PROD-00078,Zenith Lighting Excepturi,25.53
PROD-00135,Urban Accessories Ea,25.53
PROD-00225,Nexa Kitchen Illum,25.53
PROD-00162,Mira Storage Maxime,25.45
PROD-00194,Nexa Stem Fuga,25.35
PROD-00004,Summit Accessories Vitae,25.0
PROD-00055,Zenith Technology Nam,25.0
PROD-00056,Zenith Technology Nam,25.0
PROD-00063,Summit Men Fugit,25.0
PROD-00128,Nova Bedding Excepturi,25.0
PROD-00140,Urban Laptop Voluptas,25.0
PROD-00199,River Wearables Alias,25.0
PROD-00224,Nexa Decor Dolor,25.0
PROD-00017,Urban Comics Quo,24.32
PROD-00200,Nexa Footwear Illo,23.94
PROD-00195,Zenith Self-Help Nobis,23.73
PROD-00208,Summit Academic Placeat,23.44
PROD-00160,River Dining Quas,23.38
PROD-00090,Orbit Plush Natus,23.08
PROD-00274,River Women Dolorem,23.08
PROD-00115,River Plush Accusamus,22.86
PROD-00168,Bright Fiction Quis,22.81
PROD-00104,Nova Wellness Non,22.64
PROD-00253,Apex Skincare Voluptatibus,22.58
PROD-00154,Nexa Fragrance Similique,22.45
