category,subcategory,revenue
Beauty,Wellness,620541.4
Toys,Plush,591285.23
Furniture,Office,583512.42
Electronics,Audio,547929.66
Electronics,Wearables,542601.02
Clothing,Women,494550.59
Home,Bedding,490800.11
Electronics,Accessories,486910.71
Books,Fiction,469948.97
Books,Comics,462378.63
Beauty,Fragrance,460364.35
Sports,Fitness,445272.21
Toys,Stem,432269.0
Books,Technology,416026.24
Sports,Indoor,410842.46
Sports,Accessories,385695.84
Furniture,Storage,384385.06
Beauty,Haircare,374794.38
Beauty,Makeup,359024.34
Clothing,Footwear,349203.84
Furniture,Living Room,345643.34
Clothing,Men,333452.03
Books,Academic,321745.71
Furniture,Bedroom,308643.75
Beauty,Skincare,308451.99
Toys,Educational,305087.0
Toys,Outdoor,289805.05
Home,Lighting,276300.8
Electronics,Laptop,268706.94
Sports,Outdoor,266690.46
Home,Kitchen,253354.98
Home,Decor,250577.61
Clothing,Seasonal,236643.55
Clothing,Kids,232475.14
Furniture,Dining,203586.42
Books,Self-Help,191212.79
Home,Storage,154945.48
Sports,Cycling,128679.87
Electronics,Mobile,116379.67
Toys,Activity,64744.05
