sales_day,revenue
2020-01-03,7603.3
2020-01-04,15520.07
2020-01-05,7799.23
2020-01-10,25867.93
2020-01-11,11426.57
2020-01-13,19603.5
2020-01-14,3040.72
2020-01-15,1298.22
2020-01-17,20840.05
2020-01-20,7582.27
2020-01-25,63600.04
2020-01-27,9369.28
2020-01-29,31073.77
2020-02-02,12130.73
2020-02-06,1483.31
2020-02-09,3775.49
2020-02-13,4475.03
2020-02-14,9030.44
2020-02-19,27584.28
2020-02-21,21953.18
2020-02-26,40197.19
2020-02-27,19370.77
2020-02-29,15261.99
2020-03-06,19778.9
2020-03-08,50007.5
2020-03-10,1709.7
2020-03-14,16051.88
2020-03-16,13090.63
2020-03-17,18065.19
2020-03-19,11659.64
2020-03-20,194.32
2020-03-23,24258.62
2020-04-01,1517.95
2020-04-03,24556.54
2020-04-08,15752.93
2020-04-09,9783.56
2020-04-11,6366.01
2020-04-12,6504.79
2020-04-15,17534.93
2020-04-22,5015.05
2020-04-23,2208.88
2020-04-26,21776.7
2020-04-28,36579.96
2020-05-10,18519.72
2020-05-14,8770.77
2020-05-15,16778.38
2020-05-18,9849.04
2020-05-20,15513.77
2020-05-21,24600.68
2020-05-26,26444.76
2020-05-27,9233.92
2020-05-28,53666.96
2020-05-29,7979.79
2020-05-30,14349.25
2020-06-01,16668.06
2020-06-02,17726.8
2020-06-07,12836.9
2020-06-14,5673.58
2020-06-15,5736.62
2020-06-16,3246.28
2020-06-21,13527.73
2020-06-22,10857.0
2020-06-23,10240.14
2020-06-24,3604.82
2020-06-27,28829.49
2020-07-03,20542.33
2020-07-04,7489.06
2020-07-08,14350.3
2020-07-13,19922.05
2020-07-15,18965.23
2020-07-17,12589.7
2020-07-19,10987.16
2020-07-20,1970.86
2020-07-23,11254.69
2020-07-24,14939.87
2020-07-27,13513.43
2020-07-30,3728.26
2020-07-31,10808.52
2020-08-11,6599.33
2020-08-14,8849.92
2020-08-16,22420.95
2020-08-21,944.37
2020-08-22,5411.44
2020-08-29,4398.89
2020-09-03,3697.41
2020-09-11,14564.76
2020-09-12,41227.78
2020-09-13,31103.0
2020-09-25,11582.66
2020-09-26,12429.17
2020-09-27,4099.37
2020-10-02,16120.98
2020-10-08,39155.4
2020-10-09,9082.49
2020-10-10,1305.6
2020-10-11,9060.49
2020-10-13,41281.2
