sales_quarter,revenue
2020-Q1,534703.74
2020-Q2,482251.74
2020-Q3,328390.5
2020-Q4,400439.29
2021-Q1,528842.43
2021-Q2,440544.53
2021-Q3,578548.14
2021-Q4,404431.82
2022-Q1,293059.71
2022-Q2,448308.75
2022-Q3,436477.0
2022-Q4,491244.58
2023-Q1,571679.45
2023-Q2,496037.71
2023-Q3,565809.05
2023-Q4,564444.84
2024-Q1,650988.84
2024-Q2,514066.79
2024-Q3,387754.8
2024-Q4,494706.95
2025-Q1,435675.26
2025-Q2,554412.18
2025-Q3,615277.97
2025-Q4,535051.68
2026-Q1,383880.79
2026-Q2,464590.01
2026-Q3,1563844.57
