sales_week,revenue
2020-W00,30922.6
2020-W01,37294.5
2020-W02,44782.49
2020-W03,71182.31
2020-W04,52573.78
2020-W05,5258.8
2020-W06,13505.47
2020-W07,49537.46
2020-W08,74829.95
2020-W09,69786.4
2020-W10,17761.58
2020-W11,43009.78
2020-W12,24258.62
2020-W13,26074.49
2020-W14,38407.29
2020-W15,17534.93
2020-W16,29000.62
2020-W17,36579.96
2020-W18,18519.72
2020-W19,25549.15
2020-W20,49963.49
2020-W21,111674.68
2020-W22,47231.76
2020-W23,5673.58
2020-W24,22510.63
2020-W25,53531.44
2020-W26,28031.38
2020-W27,14350.3
2020-W28,62464.15
2020-W29,28165.43
2020-W30,28050.2
2020-W32,37870.2
2020-W33,6355.81
2020-W34,4398.89
2020-W35,3697.41
2020-W36,86895.54
2020-W38,28111.19
2020-W39,16120.98
2020-W40,58604.0
2020-W41,42989.95
2020-W42,2798.0
2020-W43,6481.71
2020-W44,15721.62
2020-W45,46911.43
2020-W46,19462.15
2020-W47,23606.9
2020-W48,43525.77
2020-W49,10007.56
2020-W50,13366.91
2020-W51,67246.46
2020-W52,33595.85
2021-W00,24669.92
2021-W01,24386.51
2021-W02,49392.54
2021-W03,6119.78
2021-W04,28995.87
2021-W05,26426.5
2021-W06,26504.93
2021-W07,75527.82
2021-W08,29676.5
2021-W09,52662.77
2021-W10,46035.5
2021-W11,63630.55
2021-W12,62156.23
2021-W13,28415.38
2021-W14,22337.54
2021-W15,36189.81
2021-W16,9119.62
2021-W17,27383.57
2021-W18,62011.29
2021-W19,16058.44
2021-W20,45128.25
2021-W21,25776.85
2021-W22,27990.57
2021-W23,31150.6
2021-W24,26475.92
2021-W25,82259.91
2021-W26,12903.79
2021-W27,15141.28
2021-W28,46366.63
2021-W29,64717.29
2021-W30,23520.26
2021-W31,43688.81
2021-W32,39954.8
2021-W33,17973.95
2021-W34,86950.71
2021-W35,25046.06
2021-W36,26247.24
2021-W37,132083.9
2021-W38,47579.62
2021-W39,13175.78
2021-W40,20512.27
2021-W41,26337.69
2021-W42,50337.65
2021-W43,21485.88
2021-W44,16792.99
2021-W45,17111.32
2021-W46,30998.05
2021-W47,12872.9
2021-W48,547.64
2021-W49,24792.68
2021-W50,76415.01
2021-W51,83752.85
2021-W52,18576.7
2022-W01,12406.75
2022-W02,31082.84
2022-W03,9007.98
2022-W04,23104.47
2022-W05,48002.04
2022-W08,32622.87
2022-W09,26011.81
2022-W10,48160.47
2022-W11,23533.72
2022-W12,13628.45
2022-W13,48602.36
2022-W14,13527.68
2022-W15,19374.11
2022-W16,33838.89
2022-W17,23824.9
2022-W18,18551.55
2022-W19,71262.42
2022-W20,90606.79
2022-W21,32829.24
2022-W22,15402.49
2022-W23,29362.26
2022-W24,24497.17
2022-W25,51651.35
2022-W26,475.81
2022-W27,74683.46
2022-W28,18148.82
2022-W29,42294.42
2022-W30,47445.99
2022-W31,16325.79
